"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
123	tantum	49370	55.974	124	99	0.004
124	hora	53825	61.025	131	101	0.004
125	necessarius1	20431	23.164	70	65	0.004
126	abundantia	4338	4.918	42	32	0.004
127	genus	16127	18.284	63	48	0.004
128	quotidianus	4276	4.848	41	39	0.004
129	combustio	505	0.573	35	27	0.004
130	iste2	118621	134.489	244	169	0.004
131	deficio	17363	19.686	63	53	0.003
132	desidero	17785	20.164	63	58	0.003
133	illicitus	6169	6.994	43	32	0.003
134	refectus1	451	0.511	34	33	0.003
135	absque	18571	21.055	64	55	0.003
136	delecto	10083	11.432	49	42	0.003
137	condimentum	404	0.458	33	27	0.003
138	interdico	3971	4.502	39	33	0.003
139	uitalis	2729	3.094	37	33	0.003
140	creo	18982	21.521	62	46	0.003
141	solummodo	4621	5.239	38	29	0.003
142	pre1	12691	14.389	51	37	0.003
143	gula	1924	2.181	34	28	0.003
144	pastus	852	0.966	32	31	0.003
145	uelut2	26523	30.071	74	56	0.003
146	quadragesimalis	499	0.566	32	29	0.003
147	atque	262885	298.051	433	288	0.003
148	indumentum	2616	2.966	34	32	0.003
149	alius	245108	277.896	417	256	0.003
150	quero	43924	49.8	99	75	0.003
151	offero	31610	35.839	80	64	0.003
152	sicut	195324	221.453	322	229	0.003
153	fel	2174	2.465	32	30	0.003
154	subtraho	7393	8.382	40	34	0.003
155	copia	6648	7.537	39	36	0.003
156	faux	2348	2.662	33	28	0.003
157	sapor	2133	2.418	33	26	0.003
158	mens	69929	79.284	136	101	0.003
159	ut	805180	912.89	1242	595	0.003
160	conforto	4967	5.631	37	32	0.003
161	tenuis	2486	2.819	33	29	0.003
162	animal	15681	17.779	52	46	0.003
163	apparatio	1415	1.604	31	22	0.003
164	concupiscentia	11451	12.983	47	41	0.003
165	quasi	103417	117.251	184	136	0.003
166	indifferenter	991	1.124	31	23	0.003
167	et	3528590	4000.613	5301	1280	0.003
168	enim	362284	410.747	558	326	0.003
169	ille2	591707	670.86	891	449	0.003
170	sed	527123	597.637	802	417	0.003
171	contentus1	2992	3.392	33	32	0.003
172	uita	140717	159.541	229	155	0.003
173	salutaris1	7192	8.154	39	35	0.003
174	muto2	16202	18.369	52	38	0.003
175	recreo	1668	1.891	31	25	0.003
176	corporeus	5015	5.686	35	28	0.003
177	ambulo	17338	19.657	54	46	0.003
178	ignis	40816	46.276	84	64	0.003
179	edo1	31632	35.863	71	62	0.003
180	esus	1053	1.194	29	23	0.003
181	non	1147160	1300.617	1636	660	0.003
182	arbor	11038	12.515	42	33	0.003
183	parcimonia	461	0.523	28	23	0.003
184	quadraginta	7166	8.125	37	31	0.003
185	a	664089	752.925	950	429	0.003
186	uisibilis	7345	8.328	38	26	0.003
187	diuersus	27297	30.949	66	57	0.003
188	auiditas	920	1.043	29	27	0.003
189	modicus	10176	11.537	41	30	0.003
190	sal	4167	4.724	34	30	0.003
191	cum1	349681	396.458	524	343	0.003
192	repleo	11236	12.739	42	37	0.003
193	qui2	2808818	3184.557	3815	1130	0.003
194	aliquis	128304	145.467	197	152	0.003
195	epule	2079	2.357	29	27	0.003
196	soleo	23970	27.177	59	54	0.003
197	esca	5691	6.452	34	32	0.003
198	immoderatus	1639	1.858	28	26	0.003
199	saluber	4474	5.073	32	30	0.003
200	cum2	281771	319.464	400	276	0.003
201	ante2	60876	69.02	110	90	0.003
202	os1	14207	16.108	46	42	0.003
203	ullus	20121	22.813	52	46	0.003
204	querio	21994	24.936	53	49	0.003
205	abstinens	340	0.386	26	22	0.003
206	uermis	3159	3.582	31	23	0.003
207	tribuo	16445	18.645	46	40	0.003
208	;	739006	837.864	980	517	0.003
209	ferculum	1244	1.41	27	24	0.003
210	nimius	7944	9.007	36	33	0.003
211	,	11231227	12733.641	14601	1881	0.003
212	ceterus	60436	68.521	103	82	0.003
213	penuria	1445	1.638	27	22	0.003
214	sacer	37335	42.329	75	49	0.003
215	domus	66731	75.658	112	93	0.003
216	angustia	6166	6.991	33	24	0.003
217	reliquus	17176	19.474	48	26	0.003
218	terrenus	18094	20.515	46	39	0.003
219	grandis	4771	5.409	31	20	0.003
220	solum1	51239	58.093	89	79	0.003
221	plerus	6343	7.192	33	31	0.003
222	in	2232230	2530.838	2812	879	0.003
223	necessitas	24265	27.511	55	47	0.003
224	mensura	9724	11.025	37	23	0.003
225	uestitus2	1545	1.752	26	25	0.003
226	sum	2675321	3033.202	3320	933	0.003
227	dies	162845	184.629	229	157	0.003
228	aliquando	22058	25.009	59	35	0.003
229	parcitas	313	0.355	25	24	0.003
230	indulgeo	5949	6.745	32	30	0.003
231	noxius	3035	3.441	28	25	0.003
232	inedia	865	0.981	24	20	0.002
233	quam	243023	275.533	309	223	0.002
234	scriptura	42418	48.092	75	57	0.002
235	potio2	846	0.959	24	18	0.002
236	fama	12017	13.625	37	36	0.002
237	de	670354	760.028	842	424	0.002
238	omnino	26860	30.453	55	51	0.002
239	uoluptas	11193	12.69	36	29	0.002
240	etiam	208628	236.536	278	205	0.002
241	ualidus	3965	4.495	28	21	0.002
242	desiderium	25335	28.724	54	48	0.002
243	propter	84438	95.733	123	86	0.002
244	quidem	81625	92.544	123	96	0.002
245	iumentum	4502	5.104	29	27	0.002
246	refocilo	401	0.455	24	17	0.002
247	utilis	9354	10.605	34	29	0.002
248	desiderabilis	1856	2.104	26	19	0.002
249	perdo	20743	23.518	49	39	0.002
250	dominicus1	26625	30.187	54	39	0.002
251	simul	31749	35.996	60	45	0.002
252	ita	137694	156.114	184	133	0.002
253	mortiferus	1645	1.865	24	21	0.002
254	dum	89104	101.024	124	101	0.002
255	autem	330357	374.549	403	252	0.002
256	nisi	122305	138.666	166	141	0.002
257	omnis	516119	585.161	628	378	0.002
258	deliciosus	376	0.426	23	20	0.002
259	frango	9131	10.353	32	31	0.002
260	quidam	125595	142.396	159	114	0.002
261	quoque	82940	94.035	114	92	0.002
262	regius	10174	11.535	32	29	0.002
263	desideo	1507	1.709	23	19	0.002
264	conficio	7037	7.978	29	26	0.002
265	suauitas	5439	6.167	27	27	0.002
266	?	292895	332.076	340	227	0.002
267	grossus1	482	0.547	22	18	0.002
268	mensis	22769	25.815	46	40	0.002
269	iudico	41457	47.003	67	49	0.002
270	spiritaliter	6609	7.493	34	20	0.002
271	uarius1	11584	13.134	34	28	0.002
272	epulo	1588	1.8	23	20	0.002
273	porcus	1882	2.134	23	19	0.002
274	pariter	15528	17.605	37	32	0.002
275	habeo	300642	340.859	343	242	0.002
276	conuiuium	4976	5.642	27	24	0.002
277	satietas	1430	1.621	22	22	0.002
278	mel	5131	5.817	26	24	0.002
279	luxuria	5360	6.077	27	24	0.002
280	nam	125410	142.186	151	122	0.002
281	labor2	29034	32.918	51	37	0.002
282	transeo	30676	34.78	52	49	0.002
283	dedo	28766	32.614	51	45	0.002
284	herba	4473	5.071	25	25	0.002
285	benedico	22826	25.88	42	24	0.002
286	humanus1	52825	59.892	71	64	0.002
287	tam	67456	76.48	88	75	0.002
288	sagino	769	0.872	20	19	0.002
289	se	402862	456.753	432	308	0.002
290	tamquam	41093	46.59	60	51	0.002
291	fructus	29120	33.015	48	37	0.002
292	infero	15824	17.941	35	31	0.002
293	possum	320535	363.413	339	230	0.002
294	continentia	5092	5.773	24	22	0.002
295	quilibet2	26582	30.138	45	42	0.002
296	misceo	6131	6.951	25	20	0.002
297	ne2	136259	154.487	155	122	0.002
298	requiro	15427	17.491	35	32	0.002
299	pro	198734	225.319	222	165	0.002
300	hic1	73597	83.442	94	78	0.002
301	contristo	4774	5.413	24	19	0.002
302	qualis	22170	25.136	43	37	0.002
303	uix	11761	13.334	31	26	0.002
304	unde	119900	135.939	139	99	0.002
305	asper	3766	4.27	23	21	0.002
306	ruminor	1000	1.134	20	20	0.002
307	inopia	3170	3.594	23	21	0.002
308	quia	442718	501.941	472	266	0.002
309	ad	828160	938.944	869	462	0.002
310	homo	277540	314.667	300	197	0.002
311	uerbum	139243	157.87	161	123	0.002
312	numquam	26674	30.242	47	44	0.002
313	peto	31265	35.447	51	46	0.002
314	scilicet	62392	70.738	82	66	0.002
315	.	4457983	5054.332	4395	1163	0.002
316	inter	88091	99.875	104	82	0.002
317	tempus	135642	153.787	147	115	0.002
318	ero	139198	157.819	154	118	0.002
319	auidus	1397	1.584	20	18	0.002
320	uerto	9199	10.43	27	25	0.002
321	ualeo	39921	45.261	55	50	0.002
322	digestio	198	0.225	19	16	0.002
323	uilitas	914	1.036	19	15	0.002
324	asperitas	1706	1.934	20	19	0.002
325	is2	1392674	1578.974	1325	555	0.002
326	si	412256	467.404	405	269	0.002
327	degusto	709	0.804	19	18	0.002
328	:	1142524	1295.361	1099	508	0.002
329	potius	28313	32.101	45	44	0.002
330	defero	12583	14.266	30	29	0.002
331	manus2	88480	100.316	102	80	0.002
332	superfluus	3347	3.795	22	20	0.002
333	deuoro	5199	5.895	23	23	0.002
334	inuenio	77817	88.227	95	73	0.002
335	sic	138107	156.582	149	113	0.002
336	recipio	35233	39.946	52	45	0.002
337	nolo	50410	57.153	64	54	0.002
338	cena	4029	4.568	21	19	0.002
339	penite	12437	14.101	28	25	0.002
340	subministro	1269	1.439	19	19	0.002
341	salus	46730	52.981	60	52	0.002
342	sanus	7665	8.69	26	17	0.002
343	uiuo	64920	73.604	77	67	0.002
344	perfectus1	22768	25.814	38	35	0.002
345	ieiunus	1834	2.079	19	18	0.002
346	soccus2	924	1.048	18	17	0.002
347	fruor	5642	6.397	22	19	0.002
348	gentilis	10243	11.613	26	18	0.002
349	gustus	1466	1.662	19	18	0.002
350	superfluitas	709	0.804	18	14	0.002
351	solus1	52836	59.904	65	52	0.002
352	ex	310057	351.534	296	198	0.002
353	pertineo	29921	33.924	45	38	0.002
354	donec	19050	21.598	34	33	0.002
355	christianus1	28446	32.251	44	31	0.002
356	distendo	722	0.819	18	18	0.002
357	presto2	16807	19.055	32	31	0.002
358	nimietas	578	0.655	18	16	0.002
359	alienus	25380	28.775	41	28	0.002
360	impleo	28488	32.299	44	42	0.002
361	liceo	23676	26.843	39	29	0.002
362	uitium	12525	14.201	28	24	0.002
363	denique	20309	23.026	36	35	0.002
364	necdum	5026	5.698	22	19	0.002
365	licitus1	2601	2.949	20	19	0.002
366	uero1	174906	198.303	177	143	0.002
367	sanctifico	9873	11.194	27	19	0.002
368	ars	11044	12.521	27	26	0.002
369	suus	581957	659.806	551	325	0.002
370	fidelis	49024	55.582	60	53	0.002
371	quisque	30684	34.789	45	34	0.002
372	ergo1	175499	198.976	171	137	0.002
373	aptus	5728	6.494	22	20	0.002
374	mortificatio	1223	1.387	18	17	0.002
375	uos	193048	218.872	177	119	0.002
376	prius	35816	40.607	48	45	0.002
377	ubi	94102	106.69	99	80	0.002
378	idoneus	6703	7.6	22	19	0.002
379	suggero	4940	5.601	21	17	0.002
380	inde	36394	41.263	47	41	0.002
381	accedo	23469	26.609	37	29	0.002
382	stercus	2058	2.333	19	17	0.002
383	uito	5796	6.571	21	19	0.002
384	aqua	52979	60.066	61	47	0.002
385	delectatio	6837	7.752	23	21	0.002
386	lignum	17985	20.391	33	26	0.002
387	sepe	26093	29.584	39	37	0.002
388	crapula	650	0.737	17	17	0.002
389	ingero	4445	5.04	20	19	0.002
390	adhuc	43397	49.202	54	48	0.002
391	peruenio	29327	33.25	42	34	0.002
392	nihil	77735	88.134	83	70	0.002
393	magis	50666	57.444	58	48	0.002
394	postea	24716	28.022	35	30	0.002
395	iubeo	33585	38.078	43	38	0.002
396	proprius1	61683	69.934	65	53	0.002
397	cresco	10327	11.709	24	22	0.002
398	debeo	117250	132.935	110	93	0.002
399	letitia	10639	12.062	24	22	0.002
400	iste1	15288	17.333	28	27	0.002
401	cupio	14824	16.807	27	27	0.002
402	palatum	566	0.642	16	16	0.002
403	mortalis	13380	15.17	27	24	0.002
404	leuis	10082	11.431	24	21	0.002
405	quisquam	19723	22.361	32	27	0.002
406	deinde	26627	30.189	38	37	0.002
407	serpens	9744	11.048	23	17	0.002
408	uidelicet	45878	52.015	51	42	0.002
409	polluo	5773	6.545	20	20	0.002
410	per	455848	516.827	386	251	0.002
411	ultra2	5938	6.732	20	17	0.002
412	iam	119877	135.913	110	98	0.002
413	rapio	11306	12.818	24	21	0.002
414	neco	24910	28.242	36	29	0.002
415	interior	16106	18.261	28	26	0.002
416	plebs	14101	15.987	27	27	0.002
417	appositum	597	0.677	16	16	0.002
418	ipse2	430181	487.727	358	246	0.002
419	participo	2596	2.943	18	16	0.002
420	siue	95295	108.043	96	65	0.002
421	esculentus	63	0.071	16	14	0.002
422	bonus	141665	160.616	128	89	0.002
423	prosum	16493	18.699	28	26	0.002
424	permaneo	21034	23.848	33	26	0.002
425	exquisitus	746	0.846	16	15	0.002
426	moderatus	916	1.039	16	15	0.002
427	decoquo	505	0.573	16	15	0.002
428	nauseo	131	0.149	16	16	0.002
429	fors	27137	30.767	38	31	0.002
430	respuo	3604	4.086	19	18	0.002
431	paruus	34453	39.062	43	38	0.002
432	salum	6744	7.646	21	18	0.002
433	semper	68051	77.154	69	63	0.002
434	uas2	8718	9.884	23	19	0.002
435	idem2	204398	231.741	181	130	0.002
436	consueo	7019	7.958	21	17	0.002
437	nos	304182	344.873	257	189	0.002
438	iucundus	4165	4.722	18	17	0.002
439	accepto	7685	8.713	20	18	0.002
440	sufficio	17441	19.774	28	26	0.002
441	lectio	13597	15.416	24	19	0.002
442	uestio	5868	6.653	19	16	0.002
443	immortalis	4515	5.119	18	16	0.002
444	distentus1	241	0.273	15	14	0.002
445	aridus	2232	2.531	16	13	0.002
446	eternus	70466	79.892	69	62	0.002
447	mora1	18530	21.009	28	25	0.002
448	radix	8429	9.557	21	18	0.002
449	porto	17392	19.719	27	25	0.002
450	deliquo	305	0.346	15	14	0.002
451	necessario	3031	3.437	17	17	0.002
452	iudeus	58460	66.28	58	44	0.002
453	assumo	22664	25.696	31	27	0.002
454	spiritalia	2517	2.854	17	14	0.002
455	amarus	4282	4.855	19	17	0.002
456	quando	67690	76.745	66	55	0.002
457	corruptibilis	2375	2.693	16	15	0.002
458	suspendo	5997	6.799	19	18	0.002
459	eucharistia1	1458	1.653	16	16	0.002
460	libido	6698	7.594	20	18	0.002
461	piscis	5037	5.711	18	17	0.002
462	crudus	764	0.866	16	15	0.002
463	tango	13320	15.102	25	22	0.002
464	lenticula	216	0.245	15	14	0.002
465	affluitas	348	0.395	15	9	0.002
466	obseruatio	3423	3.881	18	15	0.002
467	1	75496	85.595	71	63	0.002
468	sobrius	2319	2.629	17	14	0.002
469	sapio	9927	11.255	22	22	0.002
470	pomum	2654	3.009	17	15	0.002
471	emo	4598	5.213	18	17	0.002
472	tero	1580	1.791	16	16	0.002
473	frater	114228	129.508	102	72	0.002
474	incorporo	732	0.83	15	12	0.002
475	locusta	1565	1.774	16	15	0.002
476	angelicus	5902	6.692	19	18	0.002
477	congruus	8375	9.495	22	21	0.002
478	altar	25562	28.982	33	27	0.002
479	hic3	824808	935.144	624	350	0.002
480	mundus1	20047	22.729	30	22	0.002
481	transigo	2554	2.896	16	15	0.002
482	iuniperus1	133	0.151	15	13	0.002
483	tuus	272397	308.836	224	127	0.002
484	uespera	3338	3.785	17	10	0.002
485	miser	13748	15.587	24	24	0.001
486	colligo2	15607	17.695	25	24	0.001
487	communico	8288	9.397	20	20	0.001
488	licet	26151	29.649	31	28	0.001
489	consolatio	8132	9.22	19	19	0.001
490	quod	275741	312.627	206	162	0.001
491	polluti	426	0.483	14	13	0.001
492	interdictum	2765	3.135	15	14	0.001
493	eligo	35924	40.73	39	30	0.001
494	paruulus2	6398	7.254	18	18	0.001
495	sacerdotalis	5125	5.811	17	13	0.001
496	sobrietas	1413	1.602	15	12	0.001
497	lex	99633	112.961	81	64	0.001
498	sacrificium	18332	20.784	26	24	0.001
499	nunc	76929	87.22	70	57	0.001
500	duplico	1232	1.397	14	11	0.001
501	tempto	15179	17.21	24	19	0.001
502	equaliter	2279	2.584	15	13	0.001
503	conuerto	21948	24.884	28	27	0.001
504	puto	38766	43.952	40	35	0.001
505	quis	238193	270.056	181	148	0.001
506	fio	110043	124.764	88	69	0.001
507	inquio	91323	103.539	78	59	0.001
508	mater	37910	42.981	39	31	0.001
509	largus	2765	3.135	15	15	0.001
510	numquid	17644	20.004	26	21	0.001
511	ieiunum	376	0.426	14	14	0.001
512	siccus	2007	2.276	15	11	0.001
513	concedo	27516	31.197	34	31	0.001
514	naturalis	9974	11.308	21	20	0.001
515	dignus	38990	44.206	42	34	0.001
516	uiscus	6351	7.201	18	14	0.001
517	facio	382326	433.47	286	198	0.001
518	plus1	20015	22.692	27	27	0.001
519	abundans	1452	1.646	15	15	0.001
520	ibi	56194	63.711	54	49	0.001
521	populus1	96120	108.978	80	56	0.001
522	itaque	51962	58.913	51	42	0.001
523	oratio	42712	48.426	43	39	0.001
524	indigens1	994	1.127	14	13	0.001
525	diabolus	35625	40.391	38	32	0.001
526	nox	32345	36.672	36	31	0.001
527	siccum	162	0.184	14	7	0.001
528	traicio	793	0.899	13	10	0.001
529	adhibeo	8335	9.45	18	17	0.001
530	sumptus	2886	3.272	15	14	0.001
531	culpa	15831	17.949	23	21	0.001
532	refercio	922	1.045	13	13	0.001
533	infirmus1	14174	16.07	23	22	0.001
534	diuinus1	86936	98.566	69	62	0.001
535	(	529486	600.316	348	239	0.001
536	demon	11898	13.49	21	16	0.001
537	alter	54805	62.136	49	43	0.001
538	5	42358	48.024	40	34	0.001
539	sollicitus	7644	8.667	18	18	0.001
540	tum	88173	99.968	72	61	0.001
541	comminuo	1412	1.601	14	12	0.001
542	consuetudo	15213	17.248	23	22	0.001
543	dulcedo	8192	9.288	18	17	0.001
544	modo2	56346	63.884	49	42	0.001
545	egrotus	1800	2.041	14	12	0.001
546	quoniam	82315	93.326	65	56	0.001
547	tamen	133441	151.292	98	87	0.001
548	uendo	7485	8.486	18	17	0.001
549	gratia2	121792	138.084	95	78	0.001
550	quantitas	3768	4.272	15	13	0.001
551	resurrectio	25471	28.878	29	23	0.001
552	uenenum	4644	5.265	16	15	0.001
553	pecus	5892	6.68	17	17	0.001
554	roboro	5902	6.692	16	15	0.001
555	saturitas	940	1.066	13	13	0.001
556	solon	7727	8.761	17	15	0.001
557	gustum	705	0.799	13	13	0.001
558	uictus2	3001	3.402	15	15	0.001
559	obseruo	14851	16.838	22	19	0.001
560	igitur	82223	93.222	65	56	0.001
561	utique	30745	34.858	33	30	0.001
562	postquam	18936	21.469	24	21	0.001
563	auis	3822	4.333	15	14	0.001
564	profecto	11202	12.701	20	18	0.001
565	triticum	2643	2.997	14	12	0.001
566	interdum	9423	10.684	19	18	0.001
567	statim	17427	19.758	24	23	0.001
568	corono	5863	6.647	16	16	0.001
569	aruum	905	1.026	13	9	0.001
570	insulsus	336	0.381	13	7	0.001
571	oliuum	11900	13.492	21	18	0.001
572	sapientia	43276	49.065	38	34	0.001
573	offerens	1520	1.723	13	11	0.001
574	recuso	3422	3.88	14	14	0.001
575	primitia	2986	3.385	13	11	0.001
576	aluus	602	0.683	12	9	0.001
577	uirtus	100541	113.991	73	64	0.001
578	hodie	14614	16.569	21	18	0.001
579	postulo	14653	16.613	21	20	0.001
580	sextus	9345	10.595	17	11	0.001
581	proficio	20507	23.25	23	22	0.001
582	tu	287785	326.282	184	144	0.001
583	hospitium	3041	3.448	13	13	0.001
584	christus	268028	303.882	170	112	0.001
585	unus	180002	204.081	123	101	0.001
586	defectus2	2658	3.014	13	13	0.001
587	humor	2655	3.01	13	12	0.001
588	ideo	64375	72.987	51	44	0.001
589	uomo	414	0.469	12	10	0.001
590	curo	17536	19.882	23	20	0.001
591	tantus	72876	82.625	57	56	0.001
592	bibo1	16597	18.817	22	18	0.001
593	noster	286686	325.036	181	136	0.001
594	calidus	2552	2.893	13	9	0.001
595	intellegentia	9387	10.643	17	15	0.001
596	comestio	461	0.523	12	10	0.001
597	monachus	30375	34.438	30	20	0.001
598	preparatio	1423	1.613	13	10	0.001
599	paruulus1	6832	7.746	16	16	0.001
600	uenatio	929	1.053	12	9	0.001
601	deus	680334	771.343	404	249	0.001
602	quadragesimus	4986	5.653	15	15	0.001
603	minime	12353	14.006	19	18	0.001
604	siliqua	277	0.314	12	8	0.001
605	improbus	2225	2.523	13	11	0.001
606	triduum	2225	2.523	13	11	0.001
607	saluto	4396	4.984	14	13	0.001
608	quantum	30036	34.054	30	30	0.001
609	quilibet1	5286	5.993	15	14	0.001
610	inuito2	7982	9.05	17	16	0.001
611	eleemosyna	8813	9.992	17	14	0.001
612	ostendo	58004	65.763	48	42	0.001
613	frequenter	8251	9.355	16	14	0.001
614	partio1	1700	1.927	13	13	0.001
615	ueneratio	3079	3.491	13	13	0.001
616	excoquo	533	0.604	12	11	0.001
617	communio2	12583	14.266	20	18	0.001
618	reicio	2122	2.406	13	12	0.001
619	preter	15746	17.852	21	21	0.001
620	mando2	1052	1.193	12	12	0.001
621	prandium	1598	1.812	13	12	0.001
622	repletio	92	0.104	12	10	0.001
623	caritas	55447	62.864	45	39	0.001
624	quamuis	24380	27.641	27	24	0.001
625	utens	718	0.814	12	11	0.001
626	significo	41677	47.252	36	29	0.001
627	paradisus	11053	12.532	18	17	0.001
628	calor	4686	5.313	14	13	0.001
629	mastico	109	0.124	12	8	0.001
630	egenus	3088	3.501	13	12	0.001
631	nonnulli	10477	11.879	18	16	0.001
632	materialis	1439	1.632	13	11	0.001
633	sapidus	198	0.225	12	9	0.001
634	diuersitas	4747	5.382	15	13	0.001
635	merces	11016	12.49	19	17	0.001
636	potis	1369	1.552	12	12	0.001
637	presumo	20925	23.724	25	22	0.001
638	estas	2096	2.376	13	13	0.001
639	permitto	18886	21.412	23	20	0.001
640	contineo	20860	23.651	24	22	0.001
641	uoco	56415	63.962	43	38	0.001
642	plenus	29149	33.048	27	27	0.001
643	sustentaculum	188	0.213	11	11	0.001
644	54	1038	1.177	11	10	0.001
645	mollis	2919	3.31	12	10	0.001
646	societas	6871	7.79	14	13	0.001
647	doceo	45778	51.902	35	32	0.001
648	morbus	5637	6.391	14	12	0.001
649	natura	60309	68.377	42	41	0.001
650	quippe	37138	42.106	32	28	0.001
651	multum1	13564	15.379	18	16	0.001
652	indiscretus	1324	1.501	11	10	0.001
653	cur	21757	24.668	22	21	0.001
654	opus1	112889	127.99	74	63	0.001
655	paululum	3250	3.685	13	13	0.001
656	genero	9522	10.796	16	15	0.001
657	credens2	5559	6.303	14	14	0.001
658	sempiternus	8642	9.798	15	15	0.001
659	preuenio	6667	7.559	15	15	0.001
660	bestia	8517	9.656	16	15	0.001
661	gratus	7145	8.101	14	13	0.001
662	inimicus2	27660	31.36	26	22	0.001
663	cibo	834	0.946	11	11	0.001
664	lasso	634	0.719	11	11	0.001
665	remaneo	13153	14.913	18	15	0.001
666	estuo	1506	1.708	12	11	0.001
667	aio	92049	104.363	60	50	0.001
668	prefero	8487	9.622	16	14	0.001
669	otium	3261	3.697	12	8	0.001
670	lacto1	909	1.031	14	8	0.001
671	enutrio	1212	1.374	11	11	0.001
672	bene	36928	41.868	32	29	0.001
673	nescio	27762	31.476	27	27	0.001
674	lugeo	4392	4.98	13	8	0.001
675	expecto	8690	9.853	15	14	0.001
676	uolo2	114425	129.732	76	68	0.001
677	durus	8815	9.994	16	15	0.001
678	pabulum	1427	1.618	11	10	0.001
679	desum	14972	16.975	19	18	0.001
680	exiguus	2554	2.896	13	10	0.001
681	diiudico	2370	2.687	12	11	0.001
682	maneo	29900	33.9	27	23	0.001
683	sane	13113	14.867	18	17	0.001
684	uiuesco	6004	6.807	14	14	0.001
685	quicumque	43789	49.647	36	34	0.001
686	!	28522	32.337	26	24	0.001
687	membrum	26538	30.088	25	24	0.001
688	ecce	45236	51.287	36	30	0.001
689	uesper1	4730	5.363	13	12	0.001
690	sperno	7200	8.163	14	14	0.001
691	substantia	27702	31.408	25	20	0.001
692	placeo	27978	31.721	26	24	0.001
693	commisceo	1504	1.705	11	11	0.001
694	similiter	20332	23.052	22	19	0.001
695	singulus	33353	37.815	28	27	0.001
696	frux	2613	2.963	12	12	0.001
697	cor	132902	150.68	84	73	0.001
698	cupiditas	8598	9.748	16	16	0.001
699	regalis	5782	6.556	14	12	0.001
700	solitus	4671	5.296	13	13	0.001
701	euangelicus	6676	7.569	14	13	0.001
702	infirmitas	18706	21.208	21	17	0.001
703	caporalis	726	0.823	11	10	0.001
704	prorsum	8768	9.941	16	15	0.001
705	intellego	86740	98.343	60	51	0.001
706	tener	2255	2.557	12	12	0.001
707	nondum	13991	15.863	18	17	0.001
708	creatura	20823	23.609	23	22	0.001
709	addo	22667	25.699	24	17	0.001
710	obseruantia	3591	4.071	13	10	0.001
711	foueo	9867	11.187	16	15	0.001
712	acquiro	8930	10.125	15	14	0.001
713	uetus	20824	23.61	24	20	0.001
714	ego	352812	400.008	192	147	0.001
715	similis	28765	32.613	24	22	0.001
716	competens	1981	2.246	11	11	0.001
717	indigestus1	66	0.075	10	10	0.001
718	euomo	1054	1.195	10	10	0.001
719	consuetus	1595	1.808	10	10	0.001
720	animus	43434	49.244	31	28	0.001
721	intus1	10928	12.39	15	14	0.001
722	amaritas	5406	6.129	13	13	0.001
723	puteo	5413	6.137	13	13	0.001
724	uolucer	1726	1.957	11	10	0.001
725	fero	34928	39.6	26	25	0.001
726	primum	25972	29.446	22	19	0.001
727	congruo	4829	5.475	12	12	0.001
728	difficultas	3610	4.093	11	9	0.001
729	christianus2	5861	6.645	13	12	0.001
730	particeps	5980	6.78	13	6	0.001
731	etenim	12284	13.927	16	15	0.001
732	sicco	1323	1.5	10	9	0.001
733	aufero	25921	29.389	22	21	0.001
734	indigentia	645	0.731	10	9	0.001
735	10	20010	22.687	19	15	0.001
736	dico3	638683	724.12	315	211	0.001
737	facile	15138	17.163	17	17	0.001
738	dominus	420905	477.21	212	146	0.001
739	sustentatio	1976	2.24	11	11	0.001
740	precipio	19314	21.898	20	19	0.001
741	refectorium	1041	1.18	10	10	0.001
742	actio	14517	16.459	17	14	0.001
743	propterea	13876	15.732	16	14	0.001
744	uis	43874	49.743	33	30	0.001
745	maxime	19666	22.297	19	19	0.001
746	diuido	16947	19.214	18	15	0.001
747	scandalizo	3228	3.66	11	10	0.001
748	suscipio	51943	58.892	34	31	0.001
749	administro	2905	3.294	11	10	0.001
750	ebrietas	2925	3.316	11	11	0.001
751	predicatio	16156	18.317	17	17	0.001
752	acetum	1221	1.384	10	5	0.001
753	pretium	9792	11.102	15	14	0.001
754	etas	19002	21.544	20	19	0.001
755	species	24299	27.55	23	22	0.001
756	mulier	34555	39.178	27	24	0.001
757	reuoco	12479	14.148	16	14	0.001
758	cogito	19342	21.929	20	19	0.001
759	trado	34184	38.757	26	25	0.001
760	nequeo	8162	9.254	14	12	0.001
761	uesperi	41	0.047	10	10	0.001
762	tactus	2525	2.863	11	11	0.001
763	abomino	1176	1.333	10	9	0.001
764	peccator	24385	27.647	21	20	0.001
765	retineo	13348	15.134	16	15	0.001
766	subtilis	2568	2.912	11	10	0.001
767	saporus	447	0.507	10	8	0.001
768	laboro	15951	18.085	17	17	0.001
769	fomenta	847	0.96	10	10	0.001
770	audeo	18952	21.487	20	16	0.001
771	benedictio	20024	22.703	20	20	0.001
772	primus	80088	90.802	50	41	0.001
773	uerum1	39573	44.867	29	29	0.001
774	conuenio	26796	30.381	24	22	0.001
775	onero	2120	2.404	11	10	0.001
776	temporalis	11489	13.026	16	12	0.001
777	persuasio	1777	2.015	11	10	0.001
778	unusquisque	24422	27.689	23	22	0.001
779	separo	12951	14.684	16	15	0.001
780	agrestis	885	1.003	10	9	0.001
781	exhibeo	21219	24.058	20	17	0.001
782	luxus2	678	0.769	10	10	0.001
