"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1463	tantummodo	6614	7.499	7	7	0.001
1464	singularis1	6987	7.922	7	7	0.001
1465	prior	24097	27.321	10	8	0.001
1466	uello	17922	20.319	10	10	0.001
1467	candelabrum	2697	3.058	5	5	0.001
1468	sub	68865	78.077	22	20	0.001
1469	expleo	4138	4.692	6	6	0.001
1470	plerique	4865	5.516	6	6	0.001
1471	secularis1	13230	15	8	7	0.001
1472	1000	7920	8.98	7	2	0.001
1473	feria	6295	7.137	6	6	0.001
1474	durateus	2524	2.862	6	6	0.001
1475	testor	12870	14.592	8	8	0.001
1476	primitiua	420	0.476	5	5	0.001
1477	reputo	6633	7.52	6	5	0.001
1478	biduum	768	0.871	5	4	0.001
1479	iaceo	10581	11.996	8	8	0.001
1480	aperio	22042	24.991	10	10	0.001
1481	doctor	15863	17.985	9	9	0.001
1482	oculus	53527	60.687	17	14	0.001
1483	porus1	201	0.228	5	5	0.001
1484	recedo	17337	19.656	9	9	0.001
1485	debilis	2346	2.66	5	5	0.001
1486	simplicitas	5356	6.073	6	6	0.001
1487	incoctus1	27	0.031	5	5	0.001
1488	primo	4690	5.317	6	5	0.001
1489	lego2	42226	47.875	15	13	0.001
1490	uenalis1	724	0.821	5	4	0.001
1491	liberi	3274	3.712	6	6	0.001
1492	desino	6807	7.718	7	7	0.001
1493	uaco	9172	10.399	7	6	0.001
1494	perennis	2439	2.765	6	6	0.001
1495	psalmus	27996	31.741	11	10	0.001
1496	contra2	73954	83.847	25	23	0.001
1497	scutella	248	0.281	5	5	0.001
1498	4	32768	37.151	13	13	0.001
1499	tamdiu	2751	3.119	6	6	0.001
1500	finitus	324	0.367	5	4	0.001
1501	oro	29957	33.964	13	13	0.001
1502	impertio	2426	2.751	6	6	0.001
1503	refero	28774	32.623	12	12	0.001
1504	concessus1	465	0.527	5	4	0.001
1505	incrementum	3511	3.981	6	5	0.001
1506	beneficium	15840	17.959	9	9	0.001
1507	libertas	11621	13.176	7	6	0.001
1508	pene	14190	16.088	8	8	0.001
1509	expendo	2530	2.868	5	5	0.001
1510	extendo	8783	9.958	7	7	0.001
1511	uiuifico	7074	8.02	7	7	0.001
1512	uoluntas	59039	66.937	21	20	0.001
1513	draco	3734	4.234	6	4	0.001
1514	duo	81919	92.877	26	24	0.001
1515	ebrius	1367	1.55	5	5	0.001
1516	potestas	45528	51.618	15	14	0.001
1517	tandem	15269	17.312	8	8	0.001
1518	langueo	1494	1.694	5	5	0.001
1519	frugalis	54	0.061	5	5	0.001
1520	lectulus	2360	2.676	5	5	0.001
1521	solidamentum	59	0.067	5	5	0.001
1522	affluens	711	0.806	5	5	0.001
1523	splendidus	2410	2.732	5	5	0.001
1524	ualde	15112	17.134	8	8	0.001
1525	statuo	16296	18.476	9	9	0.001
1526	rusticus1	1633	1.851	5	5	0.001
1527	insolitus	790	0.896	5	5	0.001
1528	uiuus	14571	16.52	9	9	0.001
1529	duplex1	6056	6.866	7	6	0.001
1530	mirus	13753	15.593	8	8	0.001
1531	assiduus	2934	3.327	6	6	0.001
1532	adeo1	10373	11.761	8	8	0.001
1533	gens	55477	62.898	17	16	0.001
1534	infundo	5396	6.118	6	6	0.001
1535	celestia	4965	5.629	6	6	0.001
1536	conuersa	2458	2.787	5	5	0.001
1537	disto	3805	4.314	5	5	0
1538	insuper1	7283	8.257	6	6	0
1539	unda	3652	4.141	5	4	0
1540	fallo	8692	9.855	5	5	0
1541	mendacium	8211	9.309	6	6	0
1542	ideoque	7826	8.873	5	5	0
1543	polliceo	3876	4.395	5	4	0
1544	auctor	21183	24.017	9	9	0
1545	soror	10486	11.889	6	6	0
1546	sponsum	6625	7.511	5	5	0
1547	hereticus2	18337	20.79	8	8	0
1548	mando1	16641	18.867	7	7	0
1549	13	13676	15.506	6	6	0
1550	utpote	4612	5.229	5	5	0
1551	misericordia	44138	50.042	12	11	0
1552	flamma	7581	8.595	6	4	0
1553	lateo	8136	9.224	5	5	0
1554	requiesco	9268	10.508	6	6	0
1555	rigo	4060	4.603	5	5	0
1556	dignosco	4287	4.861	5	5	0
1557	stultus	9836	11.152	6	5	0
1558	exspecto	9097	10.314	5	5	0
1559	angela	9023	10.23	6	6	0
1560	chorus1	6443	7.305	5	4	0
1561	scandalum	5102	5.785	5	4	0
1562	dogma	6197	7.026	5	5	0
1563	custodio1	4688	5.315	5	5	0
1564	par1	9682	10.977	6	6	0
1565	res	106314	120.536	26	24	0
1566	paulatim	3009	3.412	5	5	0
1567	specialis1	4348	4.93	5	5	0
1568	exprimo	12309	13.956	6	6	0
1569	amo	19834	22.487	8	8	0
1570	interficio	13543	15.355	6	6	0
1571	circumcisio	6888	7.809	5	5	0
1572	dumtaxat	3288	3.728	5	4	0
1573	firmitas	3599	4.08	5	4	0
1574	predicator	9142	10.365	6	6	0
1575	confundo	9950	11.281	6	6	0
1576	spiro	6117	6.935	5	4	0
1577	ritus	3294	3.735	5	5	0
1578	propheta	62844	71.251	15	13	0
1579	nobilis	12997	14.736	7	5	0
1580	malo	4655	5.278	5	5	0
1581	inquiro	7337	8.319	5	5	0
1582	queo	3952	4.481	5	4	0
1583	superbia	17240	19.546	8	8	0
1584	-	1669012	1892.278	352	227	0
1585	supradictus	6688	7.583	5	5	0
1586	cultus2	8125	9.212	5	5	0
1587	cogitatio	20671	23.436	9	9	0
1588	miro	11754	13.326	7	7	0
1589	immitto	2821	3.198	5	3	0
1590	rectus	36680	41.587	11	8	0
1591	iuuo	5200	5.896	5	5	0
1592	impendeo	3696	4.19	5	5	0
1593	flos	7743	8.779	5	5	0
1594	laudo	24696	28	9	9	0
1595	fundo2	7384	8.372	6	6	0
1596	admoneo	12850	14.569	6	5	0
1597	robur	4296	4.871	5	5	0
1598	considero	13120	14.875	7	7	0
1599	nonus	8901	10.092	6	5	0
1600	hactenus	6705	7.602	5	5	0
1601	proximum	13293	15.071	7	5	0
1602	contritio	3029	3.434	5	5	0
1603	dispergo	3502	3.971	5	5	0
1604	conuerro	5558	6.302	5	5	0
1605	copulo	4056	4.599	5	5	0
1606	cesso	13130	14.886	7	7	0
1607	pius	29611	33.572	10	9	0
1608	apto	2921	3.312	5	5	0
1609	festino2	8072	9.152	5	5	0
1610	deceo	8564	9.71	6	6	0
1611	uenero	10633	12.055	6	6	0
1612	maior	9450	10.714	6	6	0
1613	heretica	3936	4.463	5	5	0
1614	uoro	775	0.879	5	4	0
1615	filius	249783	283.197	55	48	0
1616	lapis	20490	23.231	7	5	0
1617	preterea	9017	10.223	6	6	0
1618	priuo	7673	8.699	5	5	0
1619	spina	4961	5.625	5	5	0
1620	nomen	116016	131.536	27	22	0
1621	sterilitas	1274	1.444	5	4	0
1622	nuptie	7903	8.96	6	6	0
1623	septimus1	10340	11.723	6	6	0
1624	opto	8502	9.639	5	5	0
1625	iustus	76907	87.195	21	18	0
1626	simpliciter	4811	5.455	5	5	0
1627	turpis	5621	6.373	5	4	0
1628	hortor	8499	9.636	5	5	0
1629	inuicem	14175	16.071	6	6	0
1630	arbitror	10703	12.135	6	6	0
1631	lachus	8017	9.089	5	5	0
1632	prelatus2	3956	4.485	5	4	0
1633	deduco	9154	10.379	6	6	0
1634	probo	27137	30.767	9	8	0
1635	lux	34269	38.853	10	8	0
