"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
017_AucInc_ExInAp	101094	19	187.94
017_AucInc_Hymni3	11917	6	503.48
017_AucInc_Precat	5513	1	181.39
017_AucVar_SeSAmHa	58824	32	544
018_AucInc_ExAdMo	2821	1	354.48
018_AucInc_ExAdSpC	6556	2	305.06
018_Mamert_ActGra	6428	1	155.57
018_NovCat_SeDeHuE	1720	2	1162.79
018_Symmac_Episto19	107552	4	37.19
018_TicAfr_DeViRe	28006	1	35.71
019_AquJuv_HisEva	24475	8	326.86
019_AuInAqJ_InGen	11087	2	180.39
019_AusBur_AcGrAdI	5166	4	774.29
019_AusBur_CoPrBu	3388	1	295.16
019_AusBur_Epheme	1487	1	672.49
019_AusBur_Epigra2	4651	2	430.02
019_AusBur_Episto21	8866	1	112.79
019_AusBur_Idylli	13740	5	363.9
019_AusBur_PeInHoI	4536	3	661.38
019_CoeSed_CarPas	16036	9	561.24
020_AucVar_TesVet	4324	1	231.27
020_BacHis_DeReLa	9545	3	314.3
020_BacHis_ProFid	3871	2	516.66
020_ChrAqu_TrInEvS	19832	3	151.27
020_EvaMon_Alterc	7049	2	283.73
020_GauBri_Sermon2	49220	11	223.49
020_PauMed_DeBePa2	7270	3	412.65
020_PhoAgi_LiCoAr	8283	1	120.73
020_SulSev_Chroni2	30306	12	395.96
020_SulSev_DeViBeM	8174	4	489.36
020_SulSev_Dialog	18539	6	323.64
020_SulSev_Episto23	10189	2	196.29
020_ZacChr_Consul	40009	9	224.95
021_AuInRuA_CoInAm	25858	3	116.02
021_AuInRuA_CoInJo	12132	1	82.43
021_AuInRuA_CoInLxP	220643	27	122.37
021_AuInRuA_CoInOs	40727	5	122.77
021_AuInRuA_LiDeFi2	15866	2	126.06
021_AuInRuA_ViSaEu	6896	2	290.02
021_RufAqu_ApInSaH	32965	2	60.67
021_RufAqu_DeBePa3	14445	14	969.19
021_RufAqu_HisEcc	22639	4	176.69
021_RufAqu_HisMon	30768	40	1300.05
022_AucInc_ViIiSHi	7406	5	675.13
022_AucInc_ViIiSHi2	5355	4	746.97
022_AugHip_DeMaSHi	3958	1	252.65
022_CyrJer_DeMiSHi	17951	2	111.41
022_EusCre_DeMoSHi	22181	7	315.59
022_GenMas_ViISHi	2869	3	1045.66
022_HieStr_Episto32	377680	151	399.81
023_AuInHiS_DeXTePo	1489	1	671.59
023_AuInHiS_ExInLiJ	38823	12	309.1
023_AuInHiS_QuHeInL	33742	1	29.64
023_AuInHiS_SuCoXTe	98	1	10204.08
023_AuInOrH_LeNoHe	12721	1	78.61
023_DiAlHiS_DeSpSa3	23368	1	42.79
023_HiStAuI_GrFrLiN	10211	1	97.93
023_HieStr_AdvJov	55540	61	1098.31
023_HieStr_ApAdLiR	40712	1	24.56
023_HieStr_CoInEc	41180	18	437.11
023_HieStr_CoJoHi	17986	10	555.99
023_HieStr_DeNoHe	28757	1	34.77
023_HieStr_DeSiEtN	21814	1	45.84
023_HieStr_DeViBMa	9338	1	107.09
023_HieStr_DeViIl	19107	2	104.67
023_HieStr_DiCoLu	10941	2	182.8
023_HieStr_DiCoPe	43278	3	69.32
023_HieStr_QuHeInG	23849	1	41.93
023_HieStr_ViMaMoC	2618	3	1145.91
023_HieStr_ViSHi4	9222	11	1192.8
023_HieStr_ViSPaPr	3292	2	607.53
023_OrHiSt_InHoOrI	11135	2	179.61
023_PaHiSt_EpEtVeM	6275	1	159.36
