"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
072_PelIi_AdEpEtD	4756	1	210.26
072_PelIi_EpEtDe19	20815	2	96.08
072_VenFor_ViSRaRe	12095	11	909.47
072_VenFor_VitGer	8751	3	342.82
073_AmIcUr_ViSBa	8351	3	359.24
073_AnDiSiS_ViSSi	4499	5	1111.36
073_AtAlEvA_ViBAnAb	20771	6	288.86
073_AuInDiE_ViSPa4	21679	18	830.3
073_AuInJoS_VerSen3	15122	3	198.39
073_AuInPaD_VerSen4	18707	4	213.82
073_AuInPeD_VerSen2	71080	27	379.85
073_AuInRuA_VerSen	37499	16	426.68
073_AucInc_ViBPo	3996	1	250.25
073_AucInc_ViSEu	6888	2	290.36
073_AucInc_ViSEu2	9306	11	1182.03
073_AucInc_ViSFr	2074	3	1446.48
073_AucInc_ViSsEpE	11011	3	272.45
073_AucVar_Praelu3	1233	1	811.03
073_EpEdAuI_ViSAb	4512	2	443.26
073_JaDiEuI_ViSPe	3546	2	564.02
073_JoDaBiJ_ViSsBaE	80449	19	236.17
073_LeNeAnB_ViSJoEl	22955	5	217.82
073_PaAeAuI_ViSOn	3944	3	760.65
073_PalHel_HisLau	61721	28	453.65
073_SoJePaD_ViSMaAe	8649	7	809.34
073_SuSeJoC_Excerp4	15255	10	655.52
073_ThSeHy_ViSMa2	5661	5	883.24
074_GelI_SaRoEc2	67932	11	161.93
074_HeAlAuI_HerPar	46877	53	1130.62
074_JoaMos_PraSpi	55450	19	342.65
074_PaCaAuI_DeHiLaP	19312	17	880.28
074_SiVAbAn_ViSCa2	6540	2	305.81
074_TheCyr_PhSiTh	99338	110	1107.33
075_AucVar_Testim19	5237	1	190.95
075_GreI_Morali	286947	60	209.1
075_JoaDia_ViSGrMa2	83108	5	60.16
075_Maurin_EpiNun6	2318	1	431.41
075_PauVin_ViSGrMa	7165	2	279.13
076_GreI_HoInEv	108848	27	248.05
076_GreI_HoInEz	131558	21	159.63
077_GreI_Append14	6448	1	155.09
077_GreI_Dialog2	61281	6	97.91
077_GreI_Episto93	264352	4	15.13
077_GreI_RegPas	50046	6	119.89
078_AucInc_OrRoI	8789	1	113.78
078_AucInc_OrRoVi2	2658	1	376.22
078_CeDeSa_OrRoXi2	17853	2	112.03
078_GreI_AliBen	11126	1	89.88
078_GreI_Benedi2	5029	2	397.69
078_GreI_ConLat	3615	1	276.63
078_GreI_Hymni5	737	1	1356.85
078_GreI_LibRes	74172	4	53.93
078_GreI_LibSac	88487	19	214.72
079_AluTor_ExNoTe	176912	26	146.97
079_GreI_CoInLiI	224197	70	312.23
079_GreI_ExInPsP	55109	6	108.88
079_GreI_ExSuCaC	35450	7	197.46
079_PaNoGrI_ExVeAcN	264957	45	169.84
080_AilSco_IntMor	3429	2	583.26
080_AucInc_ViSSu	7999	5	625.08
080_BraCae_Episto110	22751	1	43.95
080_BraCae_ViSAe	5764	4	693.96
080_ColHib_Carmin9	3348	1	298.69
080_ColHib_DeMeTaP	2461	2	812.68
080_ColHib_Episto99	12405	1	80.61
080_ColHib_Instru2	15840	4	252.53
080_ColHib_RegCoe	7301	7	958.77
080_Eutrop_DeDiMo	2147	1	465.77
080_Eutrop_DeOcVi	1939	2	1031.46
080_Goldas_Notae4	15167	1	65.93
080_JoaIv_Episto107	3128	1	319.69
080_PauEme_DeViPaE	15611	3	192.17
080_SisGot_ViSDe2	2947	2	678.66
080_TaiCae_Senten4	128118	25	195.13
081_AucInc_ApIiHiT	10405	3	288.32
082_AuInLuT_ViSIs	14517	2	137.77
082_AucVar_Testim21	1961	1	509.94
082_IsiHis_Etymol	211576	58	274.13
083_AuInIsH_LibGlo	14728	3	203.69
083_AucInc_DeCoViE2	7614	4	525.35
083_AucInc_DeDoEc	7850	3	382.17
083_AucInc_DeNum	5628	4	710.73
083_AucInc_DeOrEtO2	12649	1	79.06
083_AucInc_Differ2	6397	1	156.32
083_AucInc_GlInSaS	7279	3	412.14
083_AucInc_OrPrCoV	8467	1	118.11
083_AucInc_Senten6	31650	14	442.34
083_AucInc_Sermon18	6189	4	646.31
083_AucInc_TeDiSc	9947	5	502.66
083_IsiHis_ApAdLiR2	4326	2	462.32
083_IsiHis_DeEcOf	27154	4	147.31
083_IsiHis_DeFiCa	33501	6	179.1
083_IsiHis_DeOrCr	14181	6	423.1
083_IsiHis_DeOrEtO	8993	4	444.79
083_IsiHis_Differ	30986	17	548.63
083_IsiHis_PrInLiV	6184	2	323.42
083_IsiHis_QuInVeT	82637	27	326.73
083_IsiHis_RegMon2	7077	5	706.51
083_IsiHis_Senten5	57580	16	277.87
083_IsiHis_SyDeLaA	16469	1	60.72
084_AuInIsH_LibCan	32306	4	123.82
084_AucVar_ConGal	20031	3	149.77
084_AucVar_ConGra	31694	2	63.1
084_AucVar_ConHis	124999	14	112
084_AucVar_EpiDec2	84831	5	58.94
085_AucInc_MiSPeMa	2195	1	455.58
085_AucInc_MisMix	312486	52	166.41
086_AucInc_Brevia	340243	43	126.38
086_AucInc_Cantic	15006	2	133.28
086_AucInc_FesAdd	12736	9	706.66
086_AucInc_HorCan	13636	4	293.34
086_AucInc_Hymni6	12743	6	470.85
086_AucInc_Psalte2	37601	4	106.38
086_AucInc_Sancto	115470	5	43.3
087_AgaPap_Episto132	23610	1	42.35
087_AucInc_Carmin11	546	1	1831.5
087_AucInc_DiDeJuD	9065	2	220.63
087_AucInc_TabIns	2442	2	819
087_AucVar_Epigra3	9717	1	102.91
087_AudRot_ViSEl2	52917	22	415.75
087_BonMog_Vita2	7285	1	137.27
087_CumHib_DeMePo	9183	15	1633.45
087_DonVes_ReAdVi3	10983	7	637.35
087_DrEuIiT_HexDra	7462	5	670.06
087_EliNov_Homili7	31304	12	383.34
087_EuIiTo_Epitap5	3773	2	530.08
087_EuIiTo_Praefa96	3472	2	576.04
087_FruBra_RegMon3	14429	13	900.96
087_JoBoAuI_MiJoRe	1987	1	503.27
087_JonBob_VitAtt	2435	1	410.68
087_JonBob_VitBer	3394	3	883.91
087_JonBob_VitBur	6109	7	1145.85
087_JonBob_VitCol	14885	14	940.54
087_MarI_Episto115	23906	3	125.49
087_VaSPeDe_Opuscu5	15388	2	129.97
087_VaSPeDe_ViSFr2	4503	1	222.07
088_AdaHii_ViSCo	22830	1	43.8
088_AucInc_ReAdVi4	7507	9	1198.88
088_AucInc_RegMag	51672	14	270.94
088_AucInc_SeDeDeV	2978	1	335.8
088_AucVar_Append21	58952	1	16.96
088_CriAfr_BreCan3	45491	5	109.91
088_DefLoc_Scinti	43571	26	596.73
088_EvaTro_Episto135	1216	4	3289.47
088_VenFor_Miscel	73157	41	560.44
088_VenFor_ViSGe	8776	3	341.84
088_VenFor_ViSHi7	5119	2	390.7
088_VenFor_ViSLe	4328	2	462.11
088_VenFor_ViSMa7	19113	3	156.96
088_VenFor_ViSMa9	5381	2	371.68
088_VenFor_ViSMe	1646	1	607.53
088_VenFor_ViSRa	4937	6	1215.31
089_AldSch_DeLaVi	24063	1	41.56
089_AldSch_DeLaVi2	17395	3	172.46
089_AldSch_DeOcPrV	3331	1	300.21
089_AldSch_DeSeEtD	34138	6	175.76
089_AldSch_Episto136	6525	3	459.77
089_AmbAut_HoInTrD	7646	1	130.79
089_AuInBoM_ViEtMaS	7119	1	140.47
089_AucInc_NotHis100	3538	1	282.65
089_BonMog_Episto140	39061	4	102.4
089_BonMog_Sermon19	13537	7	517.1
089_ChrMet_ReCaSeR	16972	15	883.81
089_ChrMet_ReCaSeR2	9518	7	735.45
089_EgbEbo_DeInCa	3017	1	331.46
089_EgbEbo_DeRePe2	4742	8	1687.05
089_EgbEbo_Excerp6	8958	3	334.9
089_EgbEbo_Poenit	14331	27	1884.03
089_GreIi_EpEtCa	14664	2	136.39
089_GreIii_DeDiCr	4481	2	446.33
089_OtSEmRa_AlViSBo	12823	1	77.98
089_PirAbb_ScDeSiL	10609	4	377.04
089_SteIi_EpEtDe21	14653	1	68.25
089_StuFul_AnCoOrS	1118	2	1788.91
090_AuInBe_DeEmb	4619	2	432.99
090_AuInBe_DeNaIn	479	3	6263.05
090_AuInBe_DePhl	1215	1	823.05
090_AuInBe_DeSub	8125	6	738.46
090_AuInBe_ElePhi	27692	21	758.34
090_AuInBe_InSiVe	3191	1	313.38
090_AuInBe_Prover2	11145	3	269.18
090_AuInBe_SePhCoE	80269	10	124.58
090_Beda_DeOrFeP	1151	1	868.81
090_Beda_DeRaTe	62766	6	95.59
091_Beda_AlExInC	86360	20	231.59
091_Beda_AlExInC2	8173	2	244.71
091_Beda_AlExInE	55942	5	89.38
091_Beda_AlExInP	52895	14	264.68
091_Beda_AlExInS	104204	7	67.18
091_Beda_AlInInT	6447	2	310.22
091_Beda_CoInPe	105113	25	237.84
091_Beda_DeTaEtV	50579	3	59.31
091_Beda_DeTeSa	34722	1	28.8
091_Beda_FrInPrS	6458	7	1083.93
091_Beda_Hexaem2	82609	15	181.58
091_Beda_QuInLiR	10792	1	92.66
092_Beda_ExSuAcA	27163	7	257.7
092_Beda_InEvSJo	165334	34	205.64
092_Beda_InEvSLu	167694	45	268.35
092_Beda_InEvSMa	58816	19	323.04
092_Beda_InEvSMa2	84399	30	355.45
092_Beda_QuInAcA	650	2	3076.92
092_Beda_ReInAcA	17872	4	223.81
093_AuInBe_AliQua	14192	2	140.92
093_AuInBe_DeCrViD	17694	6	339.1
093_AuInBe_DeLiPs	434840	54	124.18
093_AuInBe_QuSuDe	3947	1	253.36
093_AuInBe_QuSuEx	13160	5	379.94
093_AuInBe_QuSuGe	82084	21	255.84
093_AuInBe_QuSuLe	5581	7	1254.26
093_AuInBe_QuSuLiR2	14355	5	348.31
093_AuInBe_QuSuNu	7245	2	276.05
093_AuInBe_SeInPsL	16242	6	369.41
093_Beda_ExpApo	36373	2	54.99
093_Beda_SuEpCa	60320	7	116.05
094_AuInBe_DeMePaC	4075	3	736.2
094_AuInBe_DeOff	4916	1	203.42
094_AuInBe_DeRePe3	4907	8	1630.32
094_AuInBe_Excerp7	12391	2	161.41
094_Beda_Episto143	25242	1	39.62
094_Beda_Homili8	288197	49	170.02
094_Beda_HymXii	9879	5	506.12
094_Beda_Martyr2	97107	8	82.38
094_Beda_PaJuMa	3070	1	325.73
094_Beda_ViMeSCu	7701	1	129.85
094_Beda_ViPrSCu	19630	9	458.48
094_Beda_ViVSaAb	5713	1	175.04
095_AuInPaV_HisMis	170377	17	99.78
095_AuInPaV_ViEtMiS	3374	1	296.38
095_AucVar_HoDeSa	53156	8	150.5
095_AucVar_HoDeTe	149296	37	247.83
095_Beda_HisEcc2	95064	7	73.63
095_PauVin_DeGeLa	42467	4	94.19
095_PauVin_EpEtCa2	6299	2	317.51
095_SePoFe_FrDeSiV	43961	4	90.99
095_SePoFe_Scheda	8391	1	119.18
095_SmJoAuV_AnInOpB	72968	2	27.41
096_AbeEth_CanHib	6732	4	594.18
096_AbeEth_CapSel	8784	7	796.9
096_AngMet_ColCan	8187	1	122.14
096_AuInHiT_DeCoVi	17214	1	58.09
096_AuInHiT_Sermon20	25824	6	232.34
096_AuInJuT_Epitap8	451	1	2217.29
096_AucInc_Episto156	772	1	1295.34
096_AucInc_GeReFr	21286	2	93.96
096_AucInc_GesDag	10860	1	92.08
096_EliTol_Episto151	11310	6	530.5
096_HeUxBe_Episto152	72888	37	507.63
096_HilTol_DeCoBa	24609	2	81.27
096_HilTol_DeItDe	8066	2	247.95
096_JulTol_Antike	49076	10	203.77
096_JulTol_CoInNa2	25666	3	116.89
096_JulTol_Progno	27059	6	221.74
096_LeoAug_Canone2	530	2	3773.58
096_LulMog_Episto150	12182	1	82.09
096_PiFrCaM_Diplom5	33540	3	89.45
096_UrsAbb_ViSLe2	4448	1	224.82
096_Wicbod_QuInOc	30587	7	228.86
097_BenDia_ColCap	118502	21	177.21
097_CaMaLoI_Capitu4	68394	1	14.62
097_CarMag_Capitu2	77892	3	38.51
097_Eginha_ViCaMa	16033	6	374.23
097_LuIFrLo_Capitu3	33621	6	178.46
098_AdrI_Episto160	26364	2	75.86
098_AucInc_Carmen4	4006	1	249.63
098_AucVar_EpPoRo	129474	3	23.17
098_CarMag_DeIma	114653	21	183.16
098_CarMag_Episto159	16347	2	122.35
098_ConPar_Acta4	33992	1	29.42
098_MoSGa_DeGeBCa	20847	3	143.91
099_AltMon_AcSLu	11742	4	340.66
099_AucInc_PoThCuA	2318	2	862.81
099_AucVar_CanSel	27957	6	214.62
099_AucVar_FrExCoC	5522	5	905.47
099_CoFoPaA_Acta5	9466	1	105.64
099_JoDeDe_ExExPoJ	10952	2	182.62
099_LeiLug_DeSaBa	7932	3	378.21
099_LeiLug_Episto161	7328	2	272.93
099_LudMim_ViSGr2	8341	3	359.67
099_PauAqu_CoFeUr	44276	3	67.76
099_PauAqu_ExSiDeS	19522	8	409.79
099_PoeSax_AnDeGeC	20114	3	149.15
099_SimMur_RegSta	3285	4	1217.66
099_TheCan_CaCoExF	1067	3	2811.62
099_TheCan_FrExCa	500	1	2000
099_TheCan_Poenit2	6386	6	939.56
100_Alcuin_CoInAp2	35889	8	222.91
100_Alcuin_CoSuEc	28801	15	520.82
100_Alcuin_Enchir	33416	1	29.93
100_Alcuin_Episto163	142486	20	140.36
100_Alcuin_InEtReI	26820	8	298.28
100_Alcuin_InEvJo	141978	32	225.39
100_Alcuin_SuIiEpP	39850	15	376.41
100_AucInc_VitAlc	9699	5	515.52
101_Alcuin_Carmin16	42675	12	281.2
101_Alcuin_CoFeUr2	56140	1	17.81
101_Alcuin_ConFid5	36753	10	272.09
101_Alcuin_DeCoPe	2409	1	415.11
101_Alcuin_DeDia	12593	4	317.64
101_Alcuin_DeDia2	1855	2	1078.17
101_Alcuin_DeGra2	28767	1	34.76
101_Alcuin_DeOrt3	9417	2	212.38
101_Alcuin_DeUsPs	21149	3	141.85
101_Alcuin_DeViEtV	11831	5	422.62
101_Alcuin_OfPeFe	49415	3	60.71
101_Alcuin_ViBRi	4602	1	217.3
101_Alcuin_ViSWi	11966	3	250.71
101_AuInAl_DeDiOf	54530	12	220.06
101_AuInAl_DisPue	22172	6	270.61
101_AuInAl_Homili10	4882	1	204.83
101_AucVar_Dogmat	22666	1	44.12
101_AucVar_Histor2	13745	1	72.75
101_AucVar_PreSac	19539	1	51.18
101_CaMaAnC_Episto166	2248	1	444.84
102_MagSen_LiDeMyB	1297	2	1542.02
102_RemCur_CaPrSuD	6513	3	460.62
102_SmSMi_CoInEpE	271432	47	173.16
102_SmSMi_DiaMon	97204	20	205.75
102_SmSMi_Praefa120	300	1	3333.33
102_SmSMi_SuInEpE	20330	9	442.7
102_SmSMi_ViaReg	19536	3	153.56
103_AntAbb_ReAcPr	1437	4	2783.58
103_ArSiSm_Vita4	13004	7	538.3
103_AthAle_DeObMo	2772	1	360.75
103_AthAle_ExAdSpC2	6534	2	306.09
103_BasCae_AdAdFiS	6898	5	724.85
103_BasCae_ReSBa	32229	47	1458.31
103_BenAni_DeCoRe	127515	99	776.38
103_GriPre_Prolog7	1146	1	872.6
103_GriPre_RegSol	42157	29	687.9
103_IsaSyr_PrSeCo	2611	2	765.99
103_IsiHis_RegMon4	7258	5	688.9
103_Orsies_DoAtTr	12337	5	405.28
103_SedSco_CoInOmB	134882	19	140.86
103_SedSco_DeReCh	17177	1	58.22
103_SedSco_Exposi2	1850	1	540.54
103_VigDia_RegOri	2872	4	1392.76
104_AgLuAuV_EpDeJuS	8634	9	1042.39
104_AgoLug_DeCaCoE	1236	4	3236.25
104_AgoLug_DeInJu	1613	3	1859.89
104_AgoLug_DeMoReE	2948	1	339.21
104_AgoLug_DePrEtJ	6239	1	160.28
104_AgoLug_LiAdLeG	3816	2	524.11
104_AgoLug_LiDeDiE	8408	4	475.74
104_AgoLug_LiDeImS	12668	1	78.94
104_AuInEg_AnLaEtE	38011	2	52.62
104_AucInc_VitLud	24018	5	208.18
104_ClaTau_EnInEpA	35359	4	113.13
104_Eginha_HiTrMaE	25335	3	118.41
104_LudPiu_DipEcc2	122638	3	24.46
104_LudPiu_Episto171	8669	1	115.35
104_ThClTa_QuSuLiR3	86352	20	231.61
105_AdaCor_StPrMoS	6406	3	468.31
105_AucInc_ApAdViS2	1697	1	589.28
105_AucInc_LibPoe2	6477	11	1698.32
105_AucInc_ViSAl3	3385	1	295.42
105_CanFul_ViSEi	7676	5	651.38
105_CanFul_VitMet	6295	1	158.86
105_DunRec_Carmin22	1063	1	940.73
105_DunRec_ReCoCl	29386	2	68.06
105_EigFul_ViSSt2	8015	3	374.3
105_ErmNig_DeReGeL	20326	7	344.39
105_HalCam_DeViEtV2	16291	8	491.07
105_HalCam_LibPoe	6513	11	1688.93
105_HetBas_DeViEtO	3978	2	502.77
105_JesAmb_EpDeBa	6796	3	441.44
105_SymAma_DeEcOf2	124728	25	200.44
105_SymAma_Episto175	3449	2	579.88
105_SymAma_FoInCa	77039	41	532.2
105_SymAma_LiDeOrA	33675	4	118.78
105_TheAur_CaAdEo	6800	6	882.35
105_TheAur_CaAdPrP	13840	18	1300.58
105_TheAur_Carmin19	36980	13	351.54
105_TheAur_DeOrBa	7978	2	250.69
105_TheAur_FraSer2	2983	1	335.23
106_AgSiAnR_LibPon	144373	7	48.49
106_AucInc_ApAdPoA	29228	3	102.64
106_AurRec_EpAdBe	1705	1	586.51
106_CanFul_OpDePaD	23842	2	83.89
106_ChrDru_ExInMa	126001	54	428.57
106_DoSiDuD_LibMan	4131	1	242.07
106_FreLex_Chroni16	150507	30	199.33
106_JonAur_DeCuIm	39356	3	76.23
106_JonAur_DeInLa	75189	41	545.29
106_JonAur_DeInRe	11535	3	260.08
106_JosSac_DeTrCoS	5747	1	174
106_MaxAqu_EpAdCaM2	1217	1	821.69
106_TheTre_VitLud2	14396	4	277.85
107_JoaTri_ViAlRaM	15472	4	258.53
107_RabMau_CoInGe3	115716	40	345.67
107_RabMau_CoInMa5	216513	97	448.01
107_RabMau_DeClIn	58457	17	290.81
107_RabMau_DeLaSaC	53299	1	18.76
107_RudSch_ViRaMa	11016	1	90.78
108_RabMau_CoInEx	118900	15	126.16
108_RabMau_CoInLiJ	52651	7	132.95
108_RabMau_CoInLiJ2	44626	5	112.04
108_RabMau_CoInLiR2	11523	4	347.13
108_RabMau_EnInLiN	128555	32	248.92
108_RabMau_EnSuDe	80197	22	274.32
108_RabMau_ExInLe	172778	88	509.32
109_RabMau_CoInEc2	175952	32	181.87
109_RabMau_CoInLiM	60194	2	33.23
109_RabMau_CoInLiR3	131493	15	114.07
109_RabMau_CoInLiS	44098	8	181.41
109_RabMau_CoInPa	128695	5	38.85
109_RabMau_ExInLiE	16230	4	246.46
109_RabMau_ExInLiJ2	24526	6	244.64
110_RabMau_CoInEz2	297494	75	252.11
110_RabMau_Homili11	224290	42	187.26
110_RabMau_Martyr3	29849	4	134.01
110_RabMau_Opuscu7	7909	1	126.44
110_RabMau_Poenit3	11673	12	1028.01
110_RabMau_TrDeAn	5163	1	193.69
111_RabMau_CoInJe2	242019	28	115.69
111_RabMau_DeUni	302065	86	284.71
111_RabMau_EnInEpB	185837	45	242.15
111_RabMau_ExInPrS2	54283	17	313.17
112_RabMau_AlInUnS	110793	24	216.62
112_RabMau_CoInCa	37952	8	210.79
112_RabMau_DeEcDi	34216	18	526.07
112_RabMau_DeViBMa2	24632	2	81.2
112_RabMau_DeViDeD	35505	13	366.15
112_RabMau_DeViEtV3	28596	17	594.49
112_RabMau_Episto181	32033	7	218.52
112_RabMau_Epitap10	1941	1	515.2
112_RabMau_LibPoe3	11564	2	172.95
112_RabMau_PrInDeQ	1294	1	772.8
112_WalStr_GlLaRa	985	5	5076.14
113_PaDeSaM_Additi2	14730	1	67.89
113_WalStr_CanCan2	20353	7	343.93
113_WalStr_LiIRe	11012	4	363.24
113_WalStr_LiIiRe2	13813	2	144.79
113_WalStr_LiIsPr	39962	14	350.33
113_WalStr_LiIvRe	8947	2	223.54
113_WalStr_LiJoBeN	6960	2	287.36
113_WalStr_LiPaI	15580	1	64.18
113_WalStr_LibDeu2	27888	7	251
113_WalStr_LibEcc3	21788	2	91.79
113_WalStr_LibExo2	55923	11	196.7
113_WalStr_LibGen2	55084	20	363.08
113_WalStr_LibJob3	42482	8	188.32
113_WalStr_LibJud4	3242	2	616.9
113_WalStr_LibLev2	39384	21	533.21
113_WalStr_LibNum2	32466	2	61.6
113_WalStr_LibPro2	15919	4	251.27
113_WalStr_LibPsa3	122988	13	105.7
113_WalStr_LibRut2	2885	2	693.24
113_WalStr_LibSap	7793	1	128.32
113_WalStr_LibTob2	2892	2	691.56
114_AuInWaS_ViSLe3	9970	1	100.3
114_WalStr_ActApo2	20111	9	447.52
114_WalStr_ApBJo	20000	1	50
114_WalStr_CaDeSMi	227	1	4405.29
114_WalStr_DeReEc	21074	8	379.61
114_WalStr_DeSuJe	4563	6	1314.92
114_WalStr_DeViWe	8501	3	352.9
114_WalStr_EpAdEp	6332	1	157.93
114_WalStr_EpAdGa	9018	1	110.89
114_WalStr_EpAdHe2	13742	1	72.77
114_WalStr_EpAdPh	3763	1	265.75
114_WalStr_EpAdRo	24996	8	320.05
114_WalStr_EpCoRaI	27203	17	624.93
114_WalStr_EpIAdCo	15073	5	331.72
114_WalStr_EpIAdTi	4008	2	499
114_WalStr_EpIBPe	4347	1	230.04
114_WalStr_EvSeJo2	35208	18	511.25
114_WalStr_EvSeLu2	52410	16	305.29
114_WalStr_EvSeMa3	54999	16	290.91
114_WalStr_EvSeMa4	31753	13	409.41
114_WalStr_ExInQuE	28654	9	314.09
114_WalStr_ExInXxP	20256	3	148.1
114_WalStr_Hortul	3542	1	282.33
114_WalStr_ProJer	24585	4	162.7
114_WalStr_VeDeReD	4939	1	202.47
114_WalStr_VeInAqP	7071	1	141.42
114_WalStr_ViSGa	22118	6	271.27
114_WalStr_ViSMa10	6296	1	158.83
115_AngLux_CoInGe4	68351	25	365.76
115_AngLux_EnInCaC	37801	11	291
115_AngLux_EnInLiR	151360	30	198.2
115_AudSen_ExLiRe	2371	1	421.76
115_EulTol_MemSan	35419	3	84.7
115_PruTre_DePra	176595	16	90.6
115_PruTre_FlExSaS	9609	3	312.21
116_AmuLug_LiCoJu	22064	4	181.29
116_AmuLug_SeAuDeP	18000	1	55.56
116_ErmAug_FrExLiD	3101	2	644.95
116_HayHal_CoInCa2	9064	1	110.33
116_HayHal_CoInIs2	189889	46	242.25
116_HayHal_CoInPs2	255833	39	152.44
117_HayHal_CoInCaC2	31210	9	288.37
117_HayHal_EnInDuP	143487	22	153.32
117_HayHal_ExInAp2	147966	20	135.17
117_HayHal_ExInDPa	294188	95	322.92
118_HayHal_DeVaLi	38456	13	338.05
118_HayHal_HiSaEp	22529	4	177.55
118_HayHal_Homili13	412064	92	223.27
118_RemHam_ViSAn2	22221	1	45
119_FloLug_CarVar	3562	1	280.74
119_FloLug_DeExMi	29579	16	540.92
119_FloLug_ExInEpB	77237	7	90.63
119_FloLug_LiAdJoS	72471	1	13.8
119_FloLug_OpAdAm	11662	13	1114.73
119_LupFer_CaCoVe	2037	1	490.92
119_LupFer_DeTrQu	10876	2	183.89
119_LupFer_Episto189	43006	1	23.25
119_LupFer_ViSMa11	3611	2	553.86
119_NicI_EpEtDe23	183808	14	76.17
119_WalAur_Capitu13	2103	1	475.51
120_PasRad_DeFiSpE2	49851	3	60.18
120_PasRad_DeViSAd	20966	1	47.7
120_PasRad_EpDeCoE	7455	3	402.41
120_PasRad_EpiArs	42518	3	70.56
120_PasRad_ExInMa2	501659	109	217.28
120_PasRad_ExInPsX	34393	3	87.23
120_PasRad_InLaJe2	98347	34	345.71
120_PasRad_LiDeCoE	37233	40	1074.32
121_AenPar_LiAdGr	35817	7	195.44
121_AucInc_CaDeCoV	456	1	2192.98
121_CypCor_Epigra5	460	1	2173.91
121_GriSan_BenEpi	9327	3	321.65
121_GriSan_PraAnt	16093	12	745.67
121_HerTur_Capitu14	5178	1	193.12
121_IsoSan_DeMiSOt	5264	1	189.97
121_MiSAm_DeViSAm	16147	1	61.93
121_PaAlCo_Carmin23	3245	1	308.17
121_PaAlCo_Confes6	6700	1	149.25
121_PaAlCo_Episto194	46090	7	151.88
121_PaAlCo_IndLum	18132	3	165.45
121_RatCor_CoGrOp	58996	17	288.16
121_RatCor_DeCoEtS2	10468	5	477.65
121_RemLug_DeDaGeP	7970	1	125.47
121_RemLug_DeTrEp	36313	1	27.54
121_RemLug_DeVeTeS	24161	1	41.39
121_WanPru_DeMiSGo	7940	1	125.94
121_WanPru_ViSGo	6203	13	2095.76
122_JoScEr_CoInEvS	24615	5	203.13
122_JoScEr_DeDiNa	263770	28	106.15
122_JoScEr_DePra2	38918	2	51.39
122_JoScEr_VeOpSDi	65912	1	15.17
123_AdoVie_Chroni17	51797	1	19.31
123_AdoVie_Martyr6	89272	16	179.23
123_AdoVie_ViSTh2	2455	3	1222
124_AdrFlo_DeCoEtS3	2491	7	2810.12
124_AdrFlo_MiSBe	14430	3	207.9
124_AdrFlo_ViSAi	5720	3	524.48
124_CaIiCa_Episto197	16291	1	61.38
124_HerAnt_ViSGe2	27716	5	180.4
124_HinLau_OpEtEp	43858	1	22.8
124_IsaLin_Canone3	11546	6	519.66
124_OdoBel_SeInSLu	4647	1	215.19
124_UsuSan_Martyr8	21320	1	46.9
125_AuInHiR_Annale2	33792	3	88.78
125_HinRhe_AdEpRe	4409	1	226.81
125_HinRhe_AdPrRe	6829	1	146.43
125_HinRhe_AdReg	9256	1	108.04
125_HinRhe_CaInSy	8518	2	234.8
125_HinRhe_CapSyn	13036	4	306.84
125_HinRhe_DeCaVi	37316	22	589.56
125_HinRhe_DeDiAnR	11981	1	83.47
125_HinRhe_DeDiLoE	78439	10	127.49
125_HinRhe_DeFiCaR	11075	7	632.05
125_HinRhe_DeInRe2	1642	1	609.01
125_HinRhe_DePrCr	8317	2	240.47
125_HinRhe_DePra3	207307	26	125.42
125_HinRhe_DeRePeE	11261	1	88.8
125_HinRhe_DeUnEtN	75224	4	53.17
125_HinRhe_DeViBeP	2208	2	905.8
125_HinRhe_ExInFeS	7623	4	524.73
125_HinRhe_Exposi3	15900	1	62.89
125_HinRhe_ViSRe2	28304	7	247.31
126_BerCas_ViSScVi	4574	5	1093.14
126_HinRhe_Episto199	129446	10	77.25
126_HinRhe_OpInCaH	180210	7	38.84
126_JoaVii_EpEtDe25	124156	9	72.49
129_AnBiAuV_Collec2	68837	4	58.11
129_AnaBib_InSyViG	80694	1	12.39
129_AnaBib_InSyViG2	135823	1	7.36
129_AuInLiC_DePoRoV	51051	5	97.94
129_AuInMoR_BenDei	16831	1	59.41
129_AucInc_DeCom2	48021	4	83.3
129_AucInc_InPrFoP	5248	1	190.55
129_HebTur_MiBMa	7073	1	141.38
129_SteV_EpDiEtP	15070	1	66.36
129_WolHas_ViSWa	11133	3	269.47
130_IsiMer_ColDec	531681	56	105.33
131_NotBal_Martyr9	61247	6	97.96
131_NotBal_Sequen	5948	2	336.25
131_RemAnt_CoInGe5	38746	13	335.52
131_RemAnt_EnInPs2	386332	59	152.72
131_RemAnt_Homili14	32354	16	494.53
131_RicSue_Statut3	3825	1	261.44
132_AbbSan_DeBePa4	12421	3	241.53
132_AbbSan_Sermon22	7161	5	698.23
132_AucVar_ApAuVe	15406	2	129.82
132_BerVir_ExInGeP	3425	1	291.97
132_ConTro_Acta7	26772	7	261.47
132_HerRhe_EpAdWi	4813	5	1038.85
132_HuSAm_CoHiDeS	5230	1	191.2
132_HuSAm_ViSAl4	7461	1	134.03
132_LeoVii_EpEtPr7	9079	1	110.14
132_OdiSue_DeTrRe	21830	1	45.81
132_OdiSue_Sermon21	5595	3	536.19
132_RadTra_Carmin25	1464	1	683.06
132_RadTra_SeEtHo	3900	1	256.41
