word,n,sense,cat,subcat,pos,,,,,,,,,
cibus,8,food,food,general,N,,,,,,,,,
alimentum,7,food,food,general,N,,,,,,,,,
alimonia,7,food,food,general,N,,,,,,,,,
daps,6,feast,occasion,feast,N,,,,,,,,,
refectio,6,refreshment,effect,refreshment,N,,,,,,,,,
epule,5,feast,occasion,feast,N,,,,,,,,,
esca,5,food,food,general,N,,,,,,,,,
uictus2,5,food,food,general,N,,,,,,,,,
alo,4,to,food,feed,V,make,eat,V,,,,,,
potus3,4,drink,drink,general,N,,,,,,,,,
subsidium,4,support,effect,,N,,,,,,,,,
comedo1,3,to,food,eat,V,eat,V,,,,,,,
copia,3,abundance,food,quantity,N,,,,,,,,,
delicia,3,pleasure,food,quality,N,,,,,,,,,
edulium,3,food,food,general,N,,,,,,,,,
esus,3,food,food,general,N,,,,,,,,,
pabulum,3,food,food,pasture,N,?zwierzęta?,–?,pasture,,,,,,
panis,3,food,food,typeof,N,panis:,pokarm,czy,chleb?,,,,,
potus2,3,drink,drink,general,N,,,,,,,,,
saturitas,3,satiety,food,quantity,N,,,,,,,,,
coquo,2,to,food,cook,V,prepare,V,,,,,,,
elinguo,2,to,?,of,V,tongue,to,deprive,of,the,tongue,,V,?
esurio1,2,to,food,to,V,to,hunger,V,,,,,,
holus,2,food,food,typeof,N,,,,,,,,,
legumen,2,food,food,typeof,N,,,,,,,,,
nutrimentum,2,food,food,general,N,,,,,,,,,
pascua,2,pasture,food,pasture,N,,,,,,,,,
pastus,2,pasture,food,pasture,N,,,,,,,,,
reficio,2,to,effect,restore,V,restore,V,,,,,,,
ruminor,2,to,food,to,V,to,eat,V,,,,,,
sagino,2,,,,,,,,,,,,,
sapor,2,,,,,,,,,,,,,
solacium,2,,,,,,,,,,,,,
acinaces,1,,,,,,,,,,,,,
adequo,1,,,,,,,,,,,,,
admordeo,1,,,,,,,,,,,,,
affictio,1,,,,,,,,,,,,,
affleo,1,,,,,,,,,,,,,
affluenter,1,,,,,,,,,,,,,
agnos,1,,,,,,,,,,,,,
ambascio,1,,,,,,,,,,,,,
amico,1,,,,,,,,,,,,,
amygdaleus,1,,,,,,,,,,,,,
apotheosis,1,,,,,,,,,,,,,
arrogantia,1,,,,,,,,,,,,,
artiga,1,,,,,,,,,,,,,
astus,1,,,,,,,,,,,,,
auctionator,1,,,,,,,,,,,,,
auidus,1,,,,,,,,,,,,,
balbo,1,,,,,,,,,,,,,
balsamarius,1,,,,,,,,,,,,,
brephotrophium,1,,,,,,,,,,,,,
cabellum,1,,,,,,,,,,,,,
calamitas,1,,,,,,,,,,,,,
capistro,1,,,,,,,,,,,,,
carolo,1,,,,,,,,,,,,,
castelletum,1,,,,,,,,,,,,,
cauculator,1,,,,,,,,,,,,,
celebresco,1,,,,,,,,,,,,,
ceruisia,1,,,,,,,,,,,,,
cocta,1,,,,,,,,,,,,,
coinquinabilis,1,,,,,,,,,,,,,
comminisco,1,,,,,,,,,,,,,
conciliatus3,1,,,,,,,,,,,,,
coniugo,1,,,,,,,,,,,,,
conquinisco,1,,,,,,,,,,,,,
conscio,1,,,,,,,,,,,,,
constrictio,1,,,,,,,,,,,,,
consumo,1,,,,,,,,,,,,,
contextus2,1,,,,,,,,,,,,,
contrio,1,,,,,,,,,,,,,
conturbo,1,,,,,,,,,,,,,
conuiuium,1,,,,,,,,,,,,,
coorno,1,,,,,,,,,,,,,
corrado,1,,,,,,,,,,,,,
cruralis,1,,,,,,,,,,,,,
cucullo,1,,,,,,,,,,,,,
cymbium,1,,,,,,,,,,,,,
danus,1,,,,,,,,,,,,,
defensorius,1,,,,,,,,,,,,,
deicio,1,,,,,,,,,,,,,
delambo,1,,,,,,,,,,,,,
delecto,1,,,,,,,,,,,,,
delicatus1,1,,,,,,,,,,,,,
delicatus2,1,,,,,,,,,,,,,
denarialis,1,,,,,,,,,,,,,
densesco,1,,,,,,,,,,,,,
deputo,1,,,,,,,,,,,,,
deuoro,1,,,,,,,,,,,,,
dextro,1,,,,,,,,,,,,,
discerpo,1,,,,,,,,,,,,,
discessor,1,,,,,,,,,,,,,
discriminale,1,,,,,,,,,,,,,
distentus3,1,,,,,,,,,,,,,
distribuo,1,,,,,,,,,,,,,
doctrino,1,,,,,,,,,,,,,
dolor,1,,,,,,,,,,,,,
donatiuum,1,,,,,,,,,,,,,
dulcedo,1,,,,,,,,,,,,,
dulco,1,,,,,,,,,,,,,
dux1,1,,,,,,,,,,,,,
effero2,1,,,,,,,,,,,,,
egestas,1,,,,,,,,,,,,,
egritudo,1,,,,,,,,,,,,,
elatio,1,,,,,,,,,,,,,
elatus,1,,,,,,,,,,,,,
elegans,1,,,,,,,,,,,,,
elixus,1,,,,,,,,,,,,,
eluuio,1,,,,,,,,,,,,,
eminiscor,1,,,,,,,,,,,,,
emulceo,1,,,,,,,,,,,,,
eremito,1,,,,,,,,,,,,,
esculentia,1,,,,,,,,,,,,,
esuriens,1,,,,,,,,,,,,,
esuries,1,,,,,,,,,,,,,
eucharistia1,1,,,,,,,,,,,,,
examinatorius,1,,,,,,,,,,,,,
