,rank,lemma,freq,exp,obs,no_texts,dice,pos
1235,1235,cultus1,988,1.12,6,6,0.001,QLF
1236,1236,item,38456,43.6,17,15,0.001,ADV
1237,1237,firmus,9827,11.142,9,9,0.001,QLF
1238,1238,seruus2,49327,55.926,19,19,0.001,SUB
1239,1239,pallens,98,0.111,6,5,0.001,QLF
1240,1240,abundo,6781,7.688,8,8,0.001,VBE
1241,1241,languesco,329,0.373,6,6,0.001,VBE
1242,1242,eremus2,3327,3.772,7,7,0.001,SUB
1243,1243,pascua,2411,2.734,7,6,0.001,SUB
1244,1244,disco,19151,21.713,11,11,0.001,VBE
1245,1245,petra,13912,15.773,10,10,0.001,SUB
1246,1246,sapiens,18821,21.339,11,10,0.001,QLF
1247,1247,olla,784,0.889,6,6,0.001,SUB
1248,1248,immo,19556,22.172,11,10,0.001,ADV
1249,1249,daps,727,0.824,6,6,0.001,SUB
1250,1250,preceptum,29368,33.297,14,14,0.001,SUB
1251,1251,egestas,1405,1.593,6,6,0.001,SUB
1252,1252,abnego,2047,2.321,6,6,0.001,VBE
1253,1253,parens,15737,17.842,11,11,0.001,SUB
1254,1254,munus,24186,27.421,14,14,0.001,SUB
1255,1255,demum,5196,5.891,8,8,0.001,ADV
1256,1256,propono,15333,17.384,10,10,0.001,VBE
1257,1257,luctus,3814,4.324,7,7,0.001,SUB
1258,1258,exsecro,1297,1.471,6,6,0.001,VBE
1259,1259,rationalis1,5793,6.568,7,7,0.001,QLF
1260,1260,septem,19545,22.16,11,10,0.001,NUM
1261,1261,comedus1,407,0.461,6,6,0.001,QLF
1262,1262,impono,13283,15.06,9,7,0.001,VBE
1263,1263,defluo,2213,2.509,6,5,0.001,VBE
1264,1264,tollo,14543,16.488,11,10,0.001,VBE
1265,1265,erogo,2344,2.658,7,5,0.001,VBE
1266,1266,psallo,5031,5.704,7,7,0.001,VBE
1267,1267,mala2,11840,13.424,10,9,0.001,SUB
1268,1268,uindico,9200,10.431,8,8,0.001,VBE
1269,1269,sufficienter,2079,2.357,6,6,0.001,ADV
1270,1270,medius1,9797,11.108,9,9,0.001,QLF
1271,1271,quodammodo,6350,7.199,8,7,0.001,ADV
1272,1272,septimanus,1347,1.527,6,6,0.001,NUM
1273,1273,immolaticius,96,0.109,6,5,0.001,QLF
1274,1274,importunus,2225,2.523,6,6,0.001,QLF
1275,1275,solacium,4207,4.77,7,7,0.001,SUB
1276,1276,fugio,20695,23.463,12,11,0.001,VBE
1277,1277,indignus,10887,12.343,9,9,0.001,QLF
1278,1278,consedeo,8329,9.443,8,8,0.001,VBE
1279,1279,habilis,615,0.697,6,6,0.001,QLF
1280,1280,uicia,15281,17.325,11,9,0.001,SUB
1281,1281,celum,89967,102.002,34,33,0.001,SUB
1282,1282,sanctus2,34876,39.541,16,15,0.001,SUB
1283,1283,idolothytus,208,0.236,6,5,0.001,QLF
1284,1284,securus,9050,10.261,8,7,0.001,QLF
1285,1285,cocta,365,0.414,6,5,0.001,SUB
1286,1286,receptio,693,0.786,6,3,0.001,SUB
1287,1287,prebenda,1821,2.065,6,5,0.001,SUB
1288,1288,redeo,26975,30.584,13,13,0.001,VBE
1289,1289,abscindo,1822,2.066,6,5,0.001,VBE
1290,1290,tres,56314,63.847,24,21,0.001,NUM
1291,1291,lingua,26745,30.323,15,14,0.001,SUB
1292,1292,inferius2,11491,13.028,9,9,0.001,QLF
1293,1293,agnos,4902,5.558,7,6,0.001,SUB
1294,1294,captiuo,2046,2.32,6,6,0.001,VBE
1295,1295,oblectamen,569,0.645,6,6,0.001,SUB
1296,1296,hospes,3673,4.164,7,4,0.001,SUB
1297,1297,melius,13351,15.137,10,8,0.001,ADV
1298,1298,messis,3133,3.552,7,7,0.001,SUB
1299,1299,ariditas,721,0.817,6,4,0.001,SUB
1300,1300,cura,21016,23.827,12,12,0.001,SUB
1301,1301,educo1,1813,2.056,6,6,0.001,VBE
1302,1302,immortalitas,4582,5.195,7,7,0.001,SUB
1303,1303,predico1,36264,41.115,16,14,0.001,VBE
1304,1304,impietas,7139,8.094,8,7,0.001,SUB
1305,1305,mortalitas,3654,4.143,7,3,0.001,SUB
1306,1306,relinquo,31698,35.938,16,16,0.001,VBE
1307,1307,mysterium,20548,23.297,12,11,0.001,SUB
1308,1308,bonum,12295,13.94,9,9,0.001,SUB
1309,1309,cana,1396,1.583,6,6,0.001,SUB
1310,1310,consto,18724,21.229,12,11,0.001,VBE
1311,1311,perimo,4397,4.985,7,7,0.001,VBE
1312,1312,contrarius,16386,18.578,10,9,0.001,QLF
1313,1313,sugo,885,1.003,6,6,0.001,VBE
1314,1314,famulus2,6060,6.871,8,8,0.001,SUB
1315,1315,rarus,3396,3.85,7,7,0.001,QLF
1316,1316,<unknown>,785834,890.956,241,172,0.001,SUB
1317,1317,repello,7333,8.314,8,8,0.001,VBE
1318,1318,nefandus,2256,2.558,6,6,0.001,QLF
