,rank,lemma,freq,exp,obs,no_texts,dice,pos
1592,1592,impendeo,3696,4.19,5,5,0,VBE
1593,1593,flos,7743,8.779,5,5,0,SUB
1594,1594,laudo,24696,28,9,9,0,VBE
1595,1595,fundo2,7384,8.372,6,6,0,VBE
1596,1596,admoneo,12850,14.569,6,5,0,VBE
1597,1597,robur,4296,4.871,5,5,0,SUB
1598,1598,considero,13120,14.875,7,7,0,VBE
1599,1599,nonus,8901,10.092,6,5,0,NUM
1600,1600,hactenus,6705,7.602,5,5,0,ADV
1601,1601,proximum,13293,15.071,7,5,0,SUB
1602,1602,contritio,3029,3.434,5,5,0,SUB
1603,1603,dispergo,3502,3.971,5,5,0,VBE
1604,1604,conuerro,5558,6.302,5,5,0,VBE
1605,1605,copulo,4056,4.599,5,5,0,VBE
1606,1606,cesso,13130,14.886,7,7,0,VBE
1607,1607,pius,29611,33.572,10,9,0,QLF
1608,1608,apto,2921,3.312,5,5,0,VBE
1609,1609,festino2,8072,9.152,5,5,0,VBE
1610,1610,deceo,8564,9.71,6,6,0,VBE
1611,1611,uenero,10633,12.055,6,6,0,VBE
1612,1612,maior,9450,10.714,6,6,0,SUB
1613,1613,heretica,3936,4.463,5,5,0,SUB
1614,1614,uoro,775,0.879,5,4,0,VBE
1615,1615,filius,249783,283.197,55,48,0,SUB
1616,1616,lapis,20490,23.231,7,5,0,SUB
1617,1617,preterea,9017,10.223,6,6,0,CON
1618,1618,priuo,7673,8.699,5,5,0,VBE
1619,1619,spina,4961,5.625,5,5,0,SUB
1620,1620,nomen,116016,131.536,27,22,0,SUB
1621,1621,sterilitas,1274,1.444,5,4,0,SUB
1622,1622,nuptie,7903,8.96,6,6,0,SUB
1623,1623,septimus1,10340,11.723,6,6,0,NUM
1624,1624,opto,8502,9.639,5,5,0,VBE
1625,1625,iustus,76907,87.195,21,18,0,QLF
1626,1626,simpliciter,4811,5.455,5,5,0,ADV
1627,1627,turpis,5621,6.373,5,4,0,QLF
1628,1628,hortor,8499,9.636,5,5,0,VBE
1629,1629,inuicem,14175,16.071,6,6,0,ADV
1630,1630,arbitror,10703,12.135,6,6,0,VBE
1631,1631,lachus,8017,9.089,5,5,0,SUB
1632,1632,prelatus2,3956,4.485,5,4,0,SUB
1633,1633,deduco,9154,10.379,6,6,0,VBE
1634,1634,probo,27137,30.767,9,8,0,VBE
1635,1635,lux,34269,38.853,10,8,0,SUB
1636,1636,mallus1,44023,49.912,14,13,0,SUB
1637,1637,sano,12938,14.669,6,6,0,VBE
1638,1638,ibidem,10590,12.007,6,6,0,ADV
1639,1639,regnum,72632,82.348,20,19,0,SUB
1640,1640,deinceps1,8574,9.721,6,6,0,ADV
1641,1641,lectum1,4589,5.203,5,5,0,SUB
1642,1642,depono,10936,12.399,6,5,0,VBE
1643,1643,eternitas,6420,7.279,5,4,0,SUB
1644,1644,nempe,4897,5.552,5,4,0,ADV
1645,1645,habitus,8438,9.567,6,6,0,SUB
1646,1646,dispenso,2935,3.328,5,5,0,VBE
1647,1647,superbus,11142,12.633,6,5,0,QLF
1648,1648,senex1,7953,9.017,6,6,0,SUB
1649,1649,misa,14465,16.4,6,6,0,SUB
1650,1650,taceo,12744,14.449,6,5,0,VBE
1651,1651,regula1,16510,18.719,8,7,0,SUB
1652,1652,frumentum,3849,4.364,5,5,0,SUB
1653,1653,beatus,98593,111.782,25,25,0,QLF
1654,1654,libenter,7640,8.662,5,5,0,ADV
1655,1655,nimium2,4450,5.045,5,5,0,ADV
1656,1656,purgo,8277,9.384,5,5,0,VBE
1657,1657,dispono,15115,17.137,7,7,0,VBE
1658,1658,qualiter,12080,13.696,7,7,0,CON
1659,1659,amplus,4128,4.68,5,5,0,QLF
1660,1660,appello1,25043,28.393,9,9,0,VBE
1661,1661,mereo2,11679,13.241,7,7,0,VBE
1662,1662,metuo,7099,8.049,5,5,0,VBE
1663,1663,ardeo,9114,10.333,5,5,0,VBE
1664,1664,remissio,8506,9.644,5,5,0,SUB
1665,1665,derelinquo,8134,9.222,6,6,0,VBE
1666,1666,turba1,11146,12.637,6,6,0,SUB
1667,1667,promptus2,4214,4.778,5,5,0,QLF
1668,1668,consolo,6661,7.552,5,5,0,VBE
1669,1669,uia,46939,53.218,13,11,0,SUB
1670,1670,digno,16516,18.725,8,8,0,VBE
1671,1671,unguentum,4456,5.052,5,5,0,SUB
1672,1672,quinque,15539,17.618,7,7,0,NUM
1673,1673,redemptio,7380,8.367,5,5,0,SUB
1674,1674,morum,4697,5.325,5,5,0,SUB
1675,1675,actus,14073,15.956,7,6,0,SUB
1676,1676,indico1,11027,12.502,6,6,0,VBE
1677,1677,uersus2,10470,11.871,6,4,0,SUB
1678,1678,perago,9714,11.014,6,5,0,VBE
1679,1679,conspectus2,14319,16.235,7,5,0,SUB
1680,1680,exigo,13444,15.242,6,6,0,VBE
1681,1681,subdo,14755,16.729,7,7,0,VBE
1682,1682,annus,97379,110.406,23,20,0,SUB
1683,1683,femen,7675,8.702,5,5,0,SUB
1684,1684,rapina1,3897,4.418,5,5,0,SUB
1685,1685,custodio2,18108,20.53,8,8,0,VBE
1686,1686,impossibilis,4880,5.533,5,5,0,QLF
1687,1687,accido1,7631,8.652,5,5,0,VBE
1688,1688,mox,17369,19.693,8,7,0,ADV
1689,1689,gener,13083,14.833,7,7,0,SUB
1690,1690,triumphus,3724,4.222,5,5,0,SUB
1691,1691,afficio,3957,4.486,5,5,0,VBE
1692,1692,malitia,12091,13.708,6,4,0,SUB
1693,1693,quattuor,25582,29.004,10,10,0,NUM
1694,1694,dolor,22230,25.204,9,9,0,SUB
1695,1695,supra1,16363,18.552,8,8,0,PRE
1696,1696,miraculum,7378,8.365,5,5,0,SUB
1697,1697,firmo,9903,11.228,6,6,0,VBE
1698,1698,participatio,2860,3.243,5,5,0,SUB
1699,1699,demonium,4075,4.62,5,3,0,SUB
1700,1700,benignus,7792,8.834,5,5,0,QLF
1701,1701,paulus,37901,42.971,11,11,0,QLF
1702,1702,penitens,3579,4.058,5,5,0,QLF
1703,1703,loquor,84792,96.135,21,20,0,VBE
1704,1704,prosterno,6430,7.29,5,5,0,VBE
1705,1705,perfectio,10816,12.263,6,6,0,SUB
1706,1706,prout,7058,8.002,5,4,0,CON
1707,1707,pignus,3514,3.984,5,5,0,SUB
1708,1708,intendo,12721,14.423,7,7,0,VBE
1709,1709,humilis,17138,19.431,8,8,0,QLF
1710,1710,offendo,8912,10.104,5,5,0,VBE
1711,1711,minister2,9179,10.407,6,6,0,SUB
1712,1712,figura,12553,14.232,7,6,0,SUB
1713,1713,ascendo,30932,35.07,11,11,0,VBE
1714,1714,iuxta1,44117,50.019,14,13,0,ADV
1715,1715,electus1,3812,4.322,5,3,0,QLF
1716,1716,breuis1,8932,10.127,6,6,0,QLF
1717,1717,calco,3481,3.947,5,5,0,VBE
1718,1718,excedo,6012,6.816,5,4,0,VBE
1719,1719,sabbatum,10431,11.826,6,5,0,SUB
1720,1720,mereo1,16029,18.173,6,6,0,VBE
1721,1721,abbas,45806,51.934,10,7,0,SUB
1722,1722,ordo,49198,55.779,12,11,0,SUB
1723,1723,presentia,16907,19.169,5,5,0,SUB
1724,1724,littera,41740,47.324,9,9,0,SUB
1725,1725,dictum,17050,19.331,6,6,0,SUB
1726,1726,interpretor,19071,21.622,6,6,0,VBE
1727,1727,operatio,11284,12.794,5,4,0,SUB
1728,1728,attendo,16271,18.448,6,6,0,VBE
1729,1729,pretereo,15610,17.698,5,4,0,VBE
1730,1730,quartus,20065,22.749,5,5,0,NUM
1731,1731,ignoro,17545,19.892,6,6,0,VBE
1732,1732,eicio,9306,10.551,5,5,0,VBE
1733,1733,timeo,34286,38.873,9,8,0,VBE
1734,1734,restituo,11869,13.457,5,3,0,VBE
1735,1735,longe,20319,23.037,5,5,0,ADV
1736,1736,dilectio,25310,28.696,6,6,0,SUB
1737,1737,pes,28406,32.206,7,7,0,SUB
1738,1738,mille,18571,21.055,5,5,0,NUM
1739,1739,compono,10493,11.897,5,4,0,VBE
1740,1740,confessio,18208,20.644,5,5,0,SUB
1741,1741,negotium,15043,17.055,5,5,0,SUB
1742,1742,habito,22489,25.497,6,5,0,VBE
1743,1743,scientia,26399,29.93,7,7,0,SUB
1744,1744,clamo,19858,22.514,5,5,0,VBE
1745,1745,commendo,17356,19.678,5,5,0,VBE
1746,1746,gloria,64235,72.828,12,12,0,SUB
1747,1747,o,28889,32.754,7,7,0,INT
1748,1748,patria,13916,15.778,5,5,0,SUB
1749,1749,consisto,10783,12.226,5,5,0,VBE
1750,1750,grauis,20476,23.215,5,5,0,QLF
1751,1751,uinco,19705,22.341,6,6,0,VBE
1752,1752,mandatum,21342,24.197,6,6,0,SUB
1753,1753,intellectus,15151,17.178,6,6,0,SUB
1754,1754,scribo1,95748,108.556,18,18,0,VBE
1755,1755,3,41232,46.748,9,8,0,NUM
1756,1756,coram2,22862,25.92,6,5,0,PRE
1757,1757,occasio,12072,13.687,5,5,0,SUB
1758,1758,merito1,17097,19.384,5,5,0,ADV
1759,1759,regio,11954,13.553,5,5,0,SUB
1760,1760,timor,26955,30.561,6,6,0,SUB
1761,1761,pascha,10463,11.863,5,4,0,SUB
1762,1762,bona,41041,46.531,10,9,0,SUB
1763,1763,supra2,15813,17.928,5,5,0,ADV
1764,1764,demonstro,16774,19.018,6,6,0,VBE
1765,1765,penitentia,33310,37.766,9,6,0,SUB
1766,1766,caput,46690,52.936,10,10,0,SUB
1767,1767,obtineo,16325,18.509,5,5,0,VBE
1768,1768,trinitas,18856,21.378,5,4,0,SUB
1769,1769,perduco,9480,10.748,5,5,0,VBE
1770,1770,iniquus1,11603,13.155,5,5,0,QLF
1771,1771,mare,36490,41.371,7,7,0,SUB
1772,1772,antiquus,20253,22.962,5,3,0,QLF
1773,1773,respondeo,44354,50.287,8,8,0,VBE
1774,1774,secundus,43007,48.76,9,7,0,NUM
1775,1775,saluator,22792,25.841,7,7,0,SUB
1776,1776,religio,17329,19.647,5,5,0,SUB
1777,1777,describo,9145,10.368,5,5,0,VBE
1778,1778,alibi,11764,13.338,5,5,0,ADV
1779,1779,publicus1,15816,17.932,6,5,0,QLF
1780,1780,uisio,13556,15.369,5,4,0,SUB
1781,1781,succedo,10355,11.74,5,5,0,VBE
1782,1782,precapio,13422,15.218,5,5,0,VBE
1783,1783,declino,9536,10.812,5,5,0,VBE
1784,1784,baptizo,20152,22.848,6,3,0,VBE
1785,1785,resurgo,17142,19.435,5,5,0,VBE
1786,1786,clericus2,24630,27.925,7,6,0,SUB
1787,1787,post1,10370,11.757,5,5,0,ADV
1788,1788,forma,24707,28.012,6,6,0,SUB
1789,1789,comprehendo,11409,12.935,5,4,0,VBE
1790,1790,partim,4210,4.773,5,3,0,ADV
1791,1791,induo,13999,15.872,5,5,0,VBE
1792,1792,propinquus1,12884,14.608,5,5,0,QLF
1793,1793,iniquitas,28538,32.356,7,7,0,SUB
1794,1794,liber1,47634,54.006,8,8,0,SUB
1795,1795,uox,54594,61.897,9,9,0,SUB
1796,1796,iudicium,65090,73.797,7,7,0,SUB
1797,1797,monasterium,42529,48.218,5,5,0,SUB
1798,1798,profero,20724,23.496,5,5,0,VBE
1799,1799,2,47734,54.119,6,5,0,NUM
1800,1800,signum,76045,86.218,9,5,0,SUB
1801,1801,procedo,22388,25.383,5,5,0,VBE
1802,1802,cognosco,56402,63.947,8,8,0,VBE
1803,1803,sententia,41242,46.759,6,5,0,SUB
1804,1804,princeps,47446,53.793,8,7,0,SUB
1805,1805,numerus,33051,37.472,6,6,0,SUB
1806,1806,rex,141582,160.522,19,15,0,SUB
1807,1807,catholicus,25919,29.386,5,5,0,QLF
1808,1808,facies,24061,27.28,5,5,0,SUB
1809,1809,persona,42475,48.157,5,5,0,SUB
1810,1810,donum,21729,24.636,5,5,0,SUB
1811,1811,urbs,33162,37.598,5,4,0,SUB
1812,1812,celebro,21027,23.84,5,5,0,VBE
1813,1813,honor,45202,51.249,7,6,0,SUB
1814,1814,domina,51239,58.093,6,6,0,SUB
1815,1815,ecclesiasticus1,23024,26.104,5,5,0,QLF
1816,1816,presbyter,31775,36.026,6,4,0,SUB
