"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1645	ops	7325	12.673	6	6	0
1646	inuito2	7982	13.81	6	6	0
1647	extra1	1666	2.882	5	4	0
1648	iuro	9461	16.369	6	6	0
1649	facile	15138	26.191	7	7	0
1650	soliditas	1293	2.237	5	4	0
1651	diuinitus	5014	8.675	6	6	0
1652	immundus1	7659	13.251	6	6	0
1653	christianus2	5861	10.14	6	6	0
1654	fideliter	8017	13.871	5	5	0
1655	uerro	2423	4.192	5	5	0
1656	sapidus	198	0.343	5	5	0
1657	insuper1	7283	12.601	6	6	0
1658	post1	10370	17.942	6	6	0
1659	serum1	1629	2.818	5	4	0
1660	potestas	45528	78.77	12	12	0
1661	intueo	8552	14.796	5	5	0
1662	mors	90174	156.013	20	19	0
1663	pridie	1525	2.639	5	4	0
1664	illuc	7200	12.457	6	6	0
1665	later	9636	16.672	6	4	0
1666	uado2	8466	14.647	5	5	0
1667	amor	36869	63.788	11	10	0
1668	uersus2	10470	18.115	6	6	0
1669	littera	41740	72.216	12	12	0
1670	sanctificatio	4243	7.341	5	5	0
1671	magister2	17621	30.487	8	8	0
1672	mallus1	44023	76.166	11	9	0
1673	deduco	9154	15.838	6	6	0
1674	uirulentia	29	0.05	5	5	0
1675	obsecro	5919	10.241	5	5	0
1676	hereo	7103	12.289	6	6	0
1677	bona	41041	71.006	11	11	0
1678	precor	5001	8.652	6	6	0
1679	socius2	8109	14.03	6	4	0
1680	prorsum	8768	15.17	6	6	0
1681	psalmus	27996	48.437	8	7	0
1682	quadro	669	1.158	5	5	0
1683	plaustrum	515	0.891	5	2	0
1684	seges	1552	2.685	5	5	0
1685	gloria	64235	111.135	15	13	0
1686	intellegens	2888	4.997	5	5	0
1687	interficio	13543	23.431	6	6	0
1688	recognosco	4303	7.445	5	5	0
1689	exinde	5320	9.204	5	5	0
1690	digesta	361	0.625	5	5	0
1691	aduentus	16266	28.142	6	6	0
1692	affectus2	19627	33.957	8	8	0
1693	hymnus	4611	7.978	5	5	0
1694	reliquum	1492	2.581	5	5	0
1695	sodomita	414	0.716	5	5	0
1696	preterea	9017	15.601	6	6	0
1697	largior	6218	10.758	5	5	0
1698	priusquam	5073	8.777	6	6	0
1699	alteruter	2574	4.453	5	2	0
1700	patior	27676	47.883	9	9	0
1701	amen	21286	36.828	8	6	0
1702	antiphona	5226	9.042	6	3	0
1703	sublimis	6888	11.917	5	4	0
1704	scorpio	826	1.429	5	5	0
1705	pleniter	6694	11.582	5	5	0
1706	occasio	12072	20.886	7	4	0
1707	descendens	1802	3.118	5	4	0
1708	hebdomadarius1	346	0.599	5	4	0
1709	intrinsecus1	3071	5.313	5	5	0
1710	predictus	29202	50.523	9	9	0
1711	conuiua	537	0.929	5	4	0
1712	mustus	404	0.699	5	2	0
1713	pax	51296	88.749	11	9	0
1714	corruptibilis	2375	4.109	5	4	0
1715	prouoco	8342	14.433	5	4	0
1716	salutare	2728	4.72	5	4	0
1717	26	5218	9.028	6	5	0
1718	sumptus	2886	4.993	5	5	0
1719	fundo2	7384	12.775	6	6	0
1720	pius	29611	51.231	9	9	0
1721	gens	55477	95.983	12	10	0
1722	concilium	18146	31.395	7	7	0
1723	occido1	22765	39.387	8	8	0
1724	deploro	1420	2.457	5	5	0
1725	seruio	20152	34.866	7	7	0
1726	exercitus	20473	35.421	7	6	0
1727	recondo	2340	4.049	5	5	0
1728	dictum	17050	29.499	6	6	0
1729	redimo	10985	19.006	7	7	0
1730	dirus	1957	3.386	5	5	0
1731	tortula	20	0.035	5	5	0
1732	ianua	4835	8.365	5	5	0
1733	distinguo	6457	11.172	5	5	0
1734	patena	681	1.178	5	5	0
1735	largus	2765	4.784	5	5	0
1736	uarius1	11584	20.042	6	6	0
1737	templum	29071	50.297	7	6	0
1738	ecclesiasticus1	23024	39.835	5	5	0
1739	auctoritas	39569	68.46	6	6	0
1740	humilis	17138	29.651	5	5	0
1741	malus1	39883	69.003	7	6	0
1742	plurimus	20718	35.845	6	6	0
1743	pontifex	27886	48.247	6	6	0
1744	tenebre	23001	39.795	6	6	0
1745	supero	11581	20.037	5	5	0
1746	error	22593	39.089	6	6	0
1747	finis	50546	87.451	9	9	0
1748	episcopus	133803	231.497	15	14	0
1749	placeo	27978	48.406	5	5	0
1750	genu	20753	35.906	5	5	0
1751	uniuersi	26391	45.66	7	7	0
1752	potentia	16315	28.227	5	5	0
1753	testimonium	29998	51.901	7	7	0
1754	extra2	11771	20.365	5	5	0
1755	ius1	31318	54.184	6	6	0
1756	amo	19834	34.316	5	5	0
1757	pecco	32391	56.041	5	4	0
1758	gero	23517	40.688	6	6	0
1759	extremus	10342	17.893	5	4	0
1760	liber2	23617	40.861	6	6	0
1761	sto	29455	50.961	7	7	0
1762	apostolicus	49272	85.247	8	7	0
1763	iudico	41457	71.726	7	7	0
1764	mons	35651	61.681	5	5	0
1765	aurum	13232	22.893	5	5	0
1766	hostis	29670	51.333	7	6	0
1767	mortuus	33256	57.537	5	3	0
1768	pastor	16707	28.905	5	5	0
1769	cesso	13130	22.717	5	5	0
1770	supernus	12232	21.163	5	5	0
1771	cura	21016	36.361	5	5	0
1772	recedo	17337	29.995	5	5	0
1773	deuotio	15080	26.09	5	5	0
1774	amitto	13348	23.094	5	5	0
1775	miles	18064	31.253	5	5	0
1776	contrarius	16386	28.35	5	5	0
1777	retineo	13348	23.094	5	5	0
1778	clamo	19858	34.357	6	6	0
1779	obtineo	16325	28.244	5	5	0
1780	sustineo	18594	32.17	6	6	0
1781	habito	22489	38.909	5	5	0
1782	uox	54594	94.455	10	10	0
1783	temptatio	13339	23.078	5	4	0
1784	diligo	54278	93.908	8	8	0
1785	custodio2	18108	31.329	5	4	0
1786	initium	17005	29.421	5	4	0
1787	pene	14190	24.551	5	5	0
1788	ars	11044	19.108	5	4	0
1789	uilla	13659	23.632	5	4	0
1790	uisio	13556	23.454	5	5	0
1791	glorio	11958	20.689	5	5	0
1792	admitto	10598	18.336	5	5	0
1793	ordino	21309	36.867	5	4	0
1794	falsus	17362	30.039	5	5	0
1795	duco	36971	63.965	8	8	0
1796	studeo	14707	25.445	5	4	0
1797	prosum	16493	28.535	5	5	0
1798	lumen	24627	42.608	5	4	0
1799	mala1	29211	50.539	6	6	0
1800	gaudeo	22946	39.7	5	5	0
1801	beatitas	12142	21.007	5	5	0
1802	destruo	12762	22.08	5	5	0
1803	canto	12036	20.824	5	5	0
1804	ratio	50999	88.235	5	5	0
1805	princeps	47446	82.088	5	5	0
1806	iudicium	65090	112.614	6	6	0
